epoch,loss
1,0.8174590960792874
2,0.6948583540709122
3,0.48241711440293683
4,0.33641430735588074
5,0.25865234693755274
6,0.23324033488398013
7,0.21322535043177399
8,0.19127441618753516
9,0.17815341703269794
10,0.16663807371388312
11,0.15982429942359094
12,0.15473852533361185
13,0.149925766431767
14,0.14452557589696802
15,0.13983127409997193
16,0.13415881926598755
17,0.12840548611205557
18,0.12210851551397987
19,0.11662179944307907
20,0.11273533300213191
21,0.10856895310723264
22,0.10561825853327046
23,0.1037415421527365
24,0.10186461586019267
25,0.10041442221921423
26,0.09961406141519547
27,0.0986180700685667
28,0.09781536427528961
29,0.09697345385084981
30,0.09649669055057608
31,0.09600299370029698
32,0.09547827425210373
33,0.09531884964393533
34,0.09493880589371143
35,0.09442604171193164
36,0.09412391807722009
37,0.09378430895183397
38,0.0934026076093964
39,0.09330916825843893
40,0.09283746163482251
41,0.0926482943089112
42,0.09224459593710692
43,0.09191687923410664
44,0.09167604828658311
45,0.09148478961509207
46,0.09138645199329956
47,0.09091211725836215
48,0.0907770165282747
49,0.09053276122912117
50,0.09025765469540721
51,0.08996830265159192
52,0.08983351516982784
53,0.08964832256669583
54,0.08951897044544635
55,0.0893730258812075
56,0.08909419178962708
57,0.08897930707620538
58,0.08872301066699236
59,0.08859775636507117
60,0.08844689538945323
61,0.08840563569379889
62,0.08816441990759062
63,0.0879082462709883
64,0.08780420474384142
65,0.08760361826938132
66,0.08774905198294183
67,0.08729444897693137
68,0.0873609849292299
69,0.0870283547302951
70,0.08696162635865419
71,0.08677208391220673
72,0.0864866615637489
73,0.08648709304954695
74,0.08649919635575751
75,0.08669031346621721
76,0.0866045132279396
77,0.0861838482644247
78,0.08624419731938321
79,0.08570572604303775
80,0.0854913028685943
