epoch,loss
1,12.862997055053711
2,10.458459854125977
3,8.437712669372559
4,6.837375640869141
5,5.137228965759277
6,4.049959182739258
7,2.810042142868042
8,1.9996025562286377
9,1.2282843589782715
10,0.6801825165748596
11,0.3066212236881256
12,0.14071248471736908
13,0.1272342950105667
14,0.17944328486919403
15,0.25639939308166504
16,0.2982802987098694
17,0.4428981840610504
18,0.3810090124607086
19,0.384531170129776
20,0.3688699007034302
21,0.20441564917564392
22,0.20583894848823547
23,0.14932946860790253
24,0.1068306565284729
25,0.0890302062034607
26,0.10981835424900055
27,0.10802678763866425
28,0.13195902109146118
29,0.10127639770507812
30,0.1857435405254364
31,0.12945158779621124
32,0.08636639267206192
33,0.060239702463150024
34,0.07380777597427368
35,0.06983066350221634
36,0.0704655572772026
37,0.0707712173461914
38,0.061867423355579376
39,0.07644283771514893
40,0.04107287898659706
41,0.03444197028875351
42,0.026148362085223198
43,0.028283188119530678
44,0.022901443764567375
45,0.03218851983547211
46,0.027787039056420326
47,0.051001496613025665
48,0.03050992079079151
49,0.029293663799762726
50,0.04796619340777397
51,0.0212661512196064
52,0.0242190882563591
53,0.016416339203715324
54,0.034356024116277695
55,0.014146191999316216
56,0.026916097849607468
57,0.035972803831100464
58,0.04817533865571022
59,0.02961578220129013
60,0.034744638949632645
61,0.048343997448682785
62,0.031739939004182816
63,0.03170113265514374
64,0.029072830453515053
65,0.02920273132622242
66,0.01263335719704628
67,0.00624452717602253
68,0.021607985720038414
69,0.03251141309738159
70,0.019171498715877533
71,0.04051591828465462
72,0.019792020320892334
73,0.01846032775938511
74,0.00782440323382616
75,0.014011170715093613
76,0.020820165053009987
77,0.026483943685889244
78,0.016836700960993767
79,0.019269250333309174
80,0.0315253883600235
81,0.01646050252020359
82,0.014890039339661598
83,0.01666647009551525
84,0.022522680461406708
85,0.019986022263765335
86,0.013981076888740063
87,0.011000989936292171
88,0.01570219360291958
89,0.011092743836343288
90,0.014131017960608006
91,0.031104903668165207
92,0.02386106178164482
93,0.009543899446725845
94,0.014027977362275124
95,0.010503853671252728
96,0.009152740240097046
97,0.0099154282361269
98,0.021534325554966927
99,0.028483472764492035
100,0.023051923140883446
101,0.01759147457778454
102,0.010576711967587471
103,0.028332939371466637
104,0.02525148168206215
105,0.031902506947517395
106,0.012579996138811111
107,0.011488198302686214
108,0.010075041092932224
109,0.01825375109910965
110,0.017575308680534363
111,0.01954818330705166
112,0.017720691859722137
113,0.018362456932663918
114,0.02252737432718277
115,0.02028791233897209
116,0.023370586335659027
117,0.014453832991421223
118,0.02517327480018139
119,0.02553158812224865
120,0.005648035556077957
