unit,ae_0,ae_1,ae_2,ae_3,ae_4,ae_5,ae_6,ae_7,ae_8,ae_9,ae_10,ae_11,ae_12,ae_13,ae_14,ae_15,ae_16,ae_17,ae_18,ae_19,ae_20,ae_21,ae_22,ae_23,ae_24,ae_25,ae_26,ae_27,ae_28,ae_29,ae_30,ae_31,ae_32,ae_33,ae_34,ae_35,ae_36,ae_37,ae_38,ae_39,ae_40,ae_41,ae_42,ae_43,ae_44,ae_45,ae_46,ae_47,ae_48,ae_49,ae_50,ae_51,ae_52,ae_53,ae_54,ae_55,ae_56,ae_57,ae_58,ae_59,ae_60,ae_61,ae_62,ae_63
Unit 1,0.39611533284187317,0.3808589577674866,-0.7675787210464478,-0.6776006817817688,-0.05812239646911621,-0.11935151368379593,-1.4855746030807495,0.3245237171649933,0.2419826239347458,0.14060010015964508,-0.1703549027442932,1.0538734197616577,-0.752031147480011,0.6865131855010986,-0.31937694549560547,-0.27037522196769714,1.6494954824447632,1.322531819343567,1.9841400384902954,1.460021734237671,2.225896120071411,1.414182186126709,2.502849817276001,1.8962515592575073,1.4400651454925537,0.9018421769142151,1.2377175092697144,1.1629043817520142,1.8010292053222656,1.1948423385620117,1.9994614124298096,2.5709328651428223,-2.058380365371704,-1.9858332872390747,-3.191673755645752,-2.375882625579834,-2.204057455062866,-1.412215232849121,-4.5343017578125,-2.109375238418579,-1.7613639831542969,-1.153827428817749,-1.9355089664459229,-0.11669350415468216,-2.9314913749694824,-0.4828161895275116,-2.697770357131958,-3.5885748863220215,2.47589111328125,1.724852442741394,2.5612335205078125,1.546781063079834,4.0068511962890625,1.8353660106658936,2.275296449661255,2.8495378494262695,2.138765811920166,1.3664482831954956,1.4182910919189453,2.220400810241699,1.960572361946106,2.0659613609313965,1.8513543605804443,3.1838254928588867
Unit 2,0.3754690885543823,0.4061158299446106,-0.8033652305603027,-0.6812885403633118,-0.056852396577596664,-0.14024309813976288,-1.4590877294540405,0.34879931807518005,0.2762886881828308,0.132669597864151,-0.16748248040676117,1.026721715927124,-0.7650198936462402,0.6830747127532959,-0.30154919624328613,-0.24005603790283203,1.6669738292694092,1.3287729024887085,1.9890774488449097,1.4811064004898071,2.2391927242279053,1.4097654819488525,2.5619425773620605,1.8636550903320312,1.4434295892715454,0.9194309711456299,1.232058048248291,1.2016092538833618,1.8069064617156982,1.2408324480056763,2.0095386505126953,2.5481510162353516,-2.0308151245117188,-1.9247350692749023,-3.2216379642486572,-2.418440103530884,-2.2083582878112793,-1.4942809343338013,-4.64597749710083,-2.1710712909698486,-1.6765108108520508,-1.1851365566253662,-2.119271755218506,-0.12095355987548828,-2.919560194015503,-0.5364996194839478,-2.7404372692108154,-3.611612319946289,2.556323289871216,1.7470369338989258,2.141879081726074,1.3678594827651978,4.082337856292725,2.0366780757904053,2.4049665927886963,2.96529483795166,2.2451744079589844,1.3482040166854858,1.3115055561065674,2.1950201988220215,1.8803008794784546,2.2258269786834717,1.9279348850250244,3.1897621154785156
Unit 3,0.40842461585998535,0.3335365056991577,-0.799994170665741,-0.6942444443702698,-0.02877821959555149,-0.14342741668224335,-1.5648943185806274,0.2710398733615875,0.26369333267211914,0.13344593346118927,-0.1346714347600937,1.062198519706726,-0.7175713181495667,0.6977458596229553,-0.305143266916275,-0.2542424499988556,1.6483988761901855,1.3215779066085815,1.969336986541748,1.4265199899673462,2.257225275039673,1.4319339990615845,2.3121132850646973,1.805435061454773,1.4084664583206177,0.8400495052337646,1.2712953090667725,1.1260461807250977,1.8073487281799316,1.0062010288238525,1.9847432374954224,2.5744788646698,-2.1108598709106445,-2.071857452392578,-3.2033019065856934,-2.3206045627593994,-2.1227920055389404,-1.5655710697174072,-4.393558025360107,-2.2440271377563477,-1.6894304752349854,-1.0988328456878662,-1.9321542978286743,0.12895874679088593,-2.9032819271087646,-0.502252995967865,-2.685985565185547,-3.7522661685943604,2.2342493534088135,1.6860060691833496,2.749361038208008,1.263147234916687,4.285333156585693,2.2986984252929688,1.9779151678085327,2.664205312728882,2.137422800064087,1.137159824371338,1.3984427452087402,2.2026519775390625,2.0960171222686768,1.7646872997283936,1.821766972541809,3.1431658267974854
Unit 4,0.3732717037200928,0.4107135832309723,-0.8279445767402649,-0.6831293702125549,-0.0972365066409111,-0.13706658780574799,-1.4366908073425293,0.36298447847366333,0.30465081334114075,0.15521977841854095,-0.15351521968841553,1.0348094701766968,-0.7966264486312866,0.6637093424797058,-0.29372474551200867,-0.2269563525915146,1.6374273300170898,1.3308298587799072,2.003265142440796,1.4723960161209106,2.2665302753448486,1.4048341512680054,2.5051212310791016,1.8634027242660522,1.4154911041259766,0.8967941403388977,1.2614492177963257,1.1138397455215454,1.825177788734436,1.1799790859222412,1.9601713418960571,2.5663743019104004,-2.148789405822754,-1.7330026626586914,-3.2946994304656982,-2.2814226150512695,-2.1752684116363525,-1.5360755920410156,-4.4119648933410645,-2.3479461669921875,-1.6987502574920654,-1.1578080654144287,-1.981665849685669,-0.08832012861967087,-3.0096607208251953,-0.480706125497818,-2.583611249923706,-3.8073174953460693,2.471252202987671,1.7062968015670776,2.2007877826690674,1.5394306182861328,4.094954967498779,2.113651990890503,2.3182263374328613,2.8650825023651123,2.2250967025756836,1.3257136344909668,1.3681849241256714,2.175156593322754,2.0069472789764404,2.0037026405334473,2.0298280715942383,3.1961302757263184
