unit,topology_feature_0,topology_feature_1,topology_feature_2,topology_feature_3,topology_feature_4,topology_feature_5,topology_feature_6,topology_feature_7,topology_feature_8,topology_feature_9,topology_feature_10,topology_feature_11,topology_feature_12,topology_feature_13,topology_feature_14,topology_feature_15,topology_feature_16,topology_feature_17,topology_feature_18,topology_feature_19,topology_feature_20,topology_feature_21,topology_feature_22,topology_feature_23,topology_feature_24,topology_feature_25,topology_feature_26,topology_feature_27,topology_feature_28,topology_feature_29,topology_feature_30,topology_feature_31,topology_feature_32,topology_feature_33,topology_feature_34,topology_feature_35,topology_feature_36,topology_feature_37,topology_feature_38,topology_feature_39,topology_feature_40,topology_feature_41,topology_feature_42,topology_feature_43,topology_feature_44,topology_feature_45,topology_feature_46,topology_feature_47,topology_feature_48,topology_feature_49,topology_feature_50,topology_feature_51,topology_feature_52,topology_feature_53,topology_feature_54,topology_feature_55,topology_feature_56,topology_feature_57,topology_feature_58,topology_feature_59,topology_feature_60,topology_feature_61,topology_feature_62,topology_feature_63,topology_feature_64,topology_feature_65,topology_feature_66,topology_feature_67,topology_feature_68,topology_feature_69,topology_feature_70,topology_feature_71,topology_feature_72,topology_feature_73
Unit 1,512.0,0.720703125,0.279296875,6.28600437055203,20.742714082744467,10.247050132198362,8571.74921281207,11196.820175720359,13.09765625,6.030054477932677,441.24396565388986,529.1858741041829,464.4703669302331,4.024525663400595,0.04002772977306916,0.05242175371798081,392.25452537124875,19.166651750737156,26.0,32.0,33.0,2.0625,3.0,1.0,28.0,4.0,2.0,1.0,0.27457946722052945,0.1553222986088916,0.18160063915442953,0.29640946143071717,0.06654782628765764,2.9469975518655107,3.7954056736017585,0.138671875,0.3953033268101761,512.0,0.89453125,0.10546875,27648.211189337562,94609.57100013665,19869.195408105417,2337.7194324535208,6825.290606215455,13.67578125,6.274978163479809,352.187025657503,585.6259983348386,1073809671.73803,715.5050569470468,0.0807445939879248,0.12262811566987067,2789161247.9970727,275602.12054923427,26.0,32.0,43.0,2.6875,5.0,1.0,13.0,17.0,12.0,1.0,0.511316331846725,0.3382205893459328,0.3658318552840444,1.293085648788292,0.09240870686537642,2.854040039135707,4.737663501454623,0.119140625,0.786692759295499
Unit 2,512.0,0.703125,0.296875,2.8309953245574855,8.540203377090624,4.950307273595158,5567.591563466559,13117.366406869556,12.95703125,5.91295166871195,681.2008823592554,440.4301204398316,48.31879665203922,5.658379831402625,0.037175839656687436,0.04995860320565091,50.857596580990936,8.732497100173624,27.0,32.0,34.0,2.125,4.0,1.0,26.0,5.0,3.0,1.0,0.2864842330142744,0.11668834818734888,0.1617050677536188,0.2442637780803834,0.05360952365686591,2.9413267441259063,3.8066942333642477,0.11328125,0.3776908023483366,512.0,0.8984375,0.1015625,10070.96346059488,35783.03860908106,2952.224746824562,1486.2982635384005,3503.8851614070977,13.91796875,6.316915950368775,396.3839464425051,831.0502166220995,636925.0965878825,493.02767505484985,0.07525439137053465,0.09854499815033607,666665.5584770585,84378.24940284113,26.0,32.0,52.0,3.25,6.0,1.0,9.0,25.0,21.0,1.0,0.5533559297865231,0.3728317559897572,0.36221988735409455,1.1222289917933037,0.09656930684876146,2.911761951339333,4.733822143615757,0.12109375,0.7729941291585127
Unit 3,512.0,0.703125,0.296875,3.820690932171134,11.208257385807055,8.741609810792918,8670.330403529404,15745.415756310744,12.8515625,5.729024027580418,482.1907282963622,325.0692895714782,543.7626345963572,3.978326736588729,0.03909272303416523,0.04785221409650278,119.46096022995714,19.874983195351493,26.0,32.0,34.0,2.125,3.0,1.0,28.0,6.0,3.0,1.0,0.27665318247002,0.18029974477046615,0.1941637304257347,0.3146716875921044,0.06772264626213477,2.836231479170135,3.6179504462656764,0.177734375,0.324853228962818,512.0,0.896484375,0.103515625,10684.303398965672,41631.06947922276,947.5258748077898,1552.5693844288205,4268.207229896517,13.6484375,6.281905865944964,254.32233986420465,595.2910976141653,32311455.041144323,349.6160815934817,0.09023089525723349,0.13564730014848006,115919017.7943908,74771.03939959398,26.0,32.0,40.0,2.5,5.0,1.0,16.0,13.0,9.0,1.0,0.46425258948367976,0.33551529872875385,0.3853136130468922,0.9828938411569561,0.06952414173668556,3.0089286292341217,5.069597844864406,0.126953125,0.8082191780821918
Unit 4,512.0,0.693359375,0.306640625,5.645463010307004,16.532569931663573,13.739373468230141,8445.221903615578,13445.212836565692,12.8359375,5.813544722980443,475.09140901191097,508.67566225413805,360.55809346984734,7.286470167418775,0.03663837210342909,0.05054693364350294,142.30018446381266,26.853603729916713,26.0,32.0,37.0,2.3125,4.0,1.0,18.0,9.0,6.0,1.0,0.3227209648684243,0.18037599506168667,0.20975466472362506,0.410816109853606,0.0692773798968107,2.7558641559670574,3.5077863668349716,0.13671875,0.324853228962818,512.0,0.900390625,0.099609375,46546.25225209446,151294.92623938955,36566.58322488456,1916.8332250618037,4625.732078788137,14.015625,6.634408855306929,338.94012641780716,783.5081688433241,1655639.1720098513,1066.896682724113,0.07864047861855272,0.11457892348984929,3719907.1799409715,531054.7550236521,26.0,32.0,50.0,3.125,7.0,1.0,8.0,19.0,19.0,1.0,0.6461193235104246,0.5084298529303333,0.40379031585796454,1.3421045449728073,0.09192108341420341,2.7920542506928765,4.637166140856587,0.138671875,0.7671232876712328
