freq_hz,s21_db_median,s21_db_hdi_low,s21_db_hdi_high,gd_ns_median,gd_ns_hdi_low,gd_ns_hdi_high
1000000000.0,-37.91889228939823,-45.21986502721434,-33.47562969323038,0.10641557918023156,-30.6505281756183,38.37802355135072
1001962066.7102681,-38.38170050787349,-44.40187553137834,-32.26560161076425,0.2520948714246321,-22.682054070118344,26.335547258740963
1003924133.4205363,-38.079040133729826,-45.34531533025569,-33.30011795797633,0.5062676096723129,-15.876484259791468,17.296878961257676
1005886200.1308044,-38.53193012351479,-45.75050732492424,-33.17863707129216,1.1629439525994107,-7.7502358614369244,11.693081095535565
1007848266.8410726,-38.19744668926988,-45.21689778247448,-33.0394607530163,1.5621807279196984,-5.788878941329593,8.162196677062841
1009810333.5513407,-38.48342205262824,-45.950758545129204,-33.4719638041701,1.9738939576697656,-7.201983302707415,8.30589617163474
1011772400.2616088,-38.59952596715357,-45.93783580512206,-33.471913951539236,1.9567028396453288,-7.909187232778727,10.553797237272612
1013734466.9718771,-38.267293642723686,-45.458342480702704,-33.311216777634904,1.8093042186563033,-7.548145983975703,11.391700164420657
1015696533.6821452,-38.29436301597559,-45.31190146287755,-33.30886601874048,1.6667251574716153,-8.86440490275903,10.952176846793527
1017658600.3924134,-38.03266861180272,-45.87222501003637,-33.244295191473434,1.6919609130996744,-7.641399949779602,12.504771063347501
1019620667.1026815,-38.279000037663984,-47.25483470588263,-33.12915513537882,1.5445878171370626,-7.80975867815762,12.2942440296175
1021582733.8129497,-38.08635114432185,-45.36489910291684,-32.85010259294936,1.445957667643322,-7.216675869485116,13.0604088086899
1023544800.5232178,-38.09221669819755,-45.768371133615375,-33.27615630566894,1.1761801461402173,-8.751749054983895,10.797967150606462
1025506867.2334859,-37.84517815108825,-44.26579587881706,-32.34212337588032,0.9233062298293053,-9.031783796956928,11.273838566746432
1027468933.9437541,-38.62788009516369,-46.11759389405849,-32.31084546257914,0.9627902390003795,-7.653297996868719,11.50273903675587
1029431000.6540222,-38.115027864380465,-45.220800359148264,-33.019811079188656,0.954286224981415,-7.802878215148453,10.28451481078956
1031393067.3642904,-37.96535067050007,-44.63747221986681,-33.23235480827627,1.5945670173895397,-7.4419594941867135,10.549409214531769
1033355134.0745585,-38.14319233538039,-46.718904949031824,-33.44788301812517,1.619592480905288,-7.484573760413143,10.622783802769614
1035317200.7848266,-38.23010617279094,-46.39494993004349,-32.833633038805814,1.7591837807100124,-8.649100116242725,9.28486884164907
1037279267.4950948,-37.92046721084955,-44.13138492373015,-33.18927827908352,1.421293989880804,-7.799220278273962,9.822972295260422
1039241334.205363,-37.614982452874614,-44.21449645342729,-32.50617712691755,1.215244497719628,-7.110192048695372,9.979101239301764
1041203400.9156312,-37.267701393308414,-44.0288666125371,-32.74249266442483,1.1743390764848676,-8.287381894377155,8.88390011945851
1043165467.6258993,-37.47202419639973,-43.55621561173372,-32.713192663909865,0.9395568262905067,-7.261572777475628,9.497733649985356
1045127534.3361675,-37.20826346065938,-43.59604066081303,-32.33588731712919,1.1646668883938802,-6.087360395676274,9.203643226494616
1047089601.0464356,-37.43999419721166,-42.947611590017274,-31.739171817941084,0.904335769459373,-7.122731189539808,9.330385589444585
1049051667.7567037,-36.97559327906254,-42.57426436552856,-32.73053010051858,0.8614779093976637,-7.30667563528507,10.190273660280877
1051013734.4669719,-37.4865918499465,-44.47625762439385,-32.691719354467125,0.5779753101918979,-6.606427248896202,10.962929089648528
1052975801.17724,-36.97749472383332,-42.414722316624434,-32.40164820083793,0.9646990477410091,-7.5266746082836615,9.574809402065661
1054937867.8875082,-37.24968508248601,-42.572505862672294,-32.94491773261362,0.8753497396653847,-6.456757311249072,10.942047118698854
1056899934.5977763,-37.47643148962901,-42.634873514754844,-31.93677513832627,0.9019454882014497,-7.384921543408351,9.92101979213589
1058862001.3080444,-37.85985726378509,-44.5098749789912,-32.509025483193625,1.1408847225610244,-7.437666142737919,9.35411944772929
1060824068.0183126,-38.286738236651715,-44.99434561823602,-33.2463286361634,1.0225899127028883,-7.167970830057289,10.143814139016461
1062786134.7285807,-37.90905360979447,-44.617412986173726,-33.15977902417658,1.7829558687900704,-7.318489326832741,10.645763165120998
1064748201.438849,-38.57016842668103,-45.92310881309119,-33.5050333943841,1.4789267458579956,-8.583790235703074,9.960262349583171
1066710268.1491171,-38.7850609301668,-45.56911042991917,-31.86659931857286,1.5145309600957246,-7.578539490826389,10.426772963910272
1068672334.8593853,-38.30789262994767,-45.13461656458753,-32.79525146565523,1.5209869679614179,-6.975115054459403,9.911004446566668
1070634401.5696534,-38.54822276099341,-45.281142067011054,-32.936132709577905,1.3235516599147648,-8.091377934996691,9.422177333047799
1072596468.2799215,-37.68516668034725,-44.39352556230585,-33.39736161089675,1.2219447196122424,-6.747706642194046,9.402368610117376
1074558534.9901896,-37.22079194581825,-43.562559310787435,-32.223669161506386,1.2244036668365736,-6.863454100362634,9.82627830398415
1076520601.7004578,-37.40993806205834,-43.65550671330127,-31.98165926746681,1.548011806056663,-7.816256606905272,8.669886111683809
1078482668.410726,-36.87143517595299,-42.15779773556497,-32.50071580188203,1.4313092670355494,-8.046587122832065,8.612455961575092
1080444735.120994,-36.762520565316805,-42.58511281429598,-32.60937164909663,1.2947835027822876,-7.055570009387577,9.76063777693479
1082406801.8312624,-36.58152299874742,-42.11584321677265,-32.56299918880953,1.1044707475310238,-7.020532798360843,9.113676830068714
1084368868.5415304,-36.14826050530677,-42.238901954898715,-32.46414846966045,1.2837813234389985,-7.050606311134261,8.950461881006573
1086330935.2517986,-36.55104790664617,-42.9818678244666,-32.43365496750296,1.0082825100083221,-6.104909399051235,9.379068806028867
1088293001.9620667,-36.31336794918365,-41.43006417177478,-31.627944482305583,1.0161082181132548,-6.450724694494535,8.901643955434825
1090255068.672335,-36.16698587926754,-41.029544737300256,-31.988090522420908,0.9068085423889152,-7.041357967198947,8.562333835661201
1092217135.382603,-36.58018916152325,-42.639432648813425,-32.40794933631698,1.3464718060151153,-6.8900072803566825,8.368776929685389
1094179202.0928712,-36.92576359683092,-42.691544488846056,-32.64710513496151,0.8246085444021218,-6.985031487178712,10.54982326115206
1096141268.8031392,-37.25612318372424,-43.25840976714207,-32.06836503754214,1.4900046555966246,-7.30410845029732,9.985693766681516
1098103335.5134075,-37.91716678414292,-43.79057566198961,-32.85832867687106,1.56428389172905,-7.9884127282436594,9.174087106112017
1100065402.2236757,-37.889375062103994,-44.18942637364524,-32.80222146632787,1.5448205826725343,-7.328668267319046,10.187995144902837
1102027468.9339437,-37.98089568904327,-44.464924952269854,-33.20561906402833,1.4102789726202427,-7.823677263707941,9.71931915002106
1103989535.644212,-38.58915937789649,-44.914810146278356,-33.604662505821054,1.259091570309566,-7.129852529132949,10.889913111582501
1105951602.35448,-38.054761695214566,-45.38987099434857,-33.306317385879225,1.2486135376249168,-7.930684300910784,10.69159633944956
1107913669.0647483,-38.57905630727463,-44.9369084836373,-33.05856998306527,0.9270626489567033,-8.513642980264446,11.062696237724406
1109875735.7750163,-38.02197320817783,-45.21866119069047,-33.06708468371486,0.768271092896878,-7.991200100044365,13.768297473143578
1111837802.4852846,-38.744114598894896,-45.28614371556475,-32.8740077758404,1.367627380687045,-9.128548561725506,11.504206610867966
