,unit_1,unit_2,unit_3,unit_4
unit_1,0.0,0.12628066539764404,0.07570931315422058,0.321696400642395
unit_2,0.12628066539764404,0.0,0.12628066539764404,0.321696400642395
unit_3,0.07570931315422058,0.12628066539764404,0.0,0.321696400642395
unit_4,0.321696400642395,0.321696400642395,0.321696400642395,0.0
