node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,21,0.041015625,2649724376.343081
1,20,0.0390625,2635578809.6795297
2,51,0.099609375,2469010887.5466475
3,16,0.03125,2387794310.0065403
4,65,0.126953125,2467384414.147004
5,27,0.052734375,2313203982.2687306
6,13,0.025390625,2515621069.577904
7,14,0.02734375,2457395122.8627486
8,7,0.013671875,2464542651.5930114
9,1,0.001953125,2599084368.8685417
10,6,0.01171875,2429692609.5487247
11,4,0.0078125,2492642249.8364944
12,5,0.009765625,2442119032.0470896
13,49,0.095703125,2303212717.395657
14,8,0.015625,2496075866.579464
15,44,0.0859375,2650811582.1392474
16,3,0.005859375,2513407455.853499
17,11,0.021484375,2449075450.3834944
18,26,0.05078125,2566106555.315188
19,1,0.001953125,2322432962.7207327
20,35,0.068359375,2571223021.582734
21,6,0.01171875,2374100719.42446
22,17,0.033203125,2295194860.154657
23,7,0.013671875,2217882836.5878725
24,3,0.005859375,2130804447.3512099
25,23,0.044921875,2669121619.7002873
26,0,0.0,
27,5,0.009765625,2480183126.2262917
28,10,0.01953125,2534532374.1007195
29,2,0.00390625,2461739699.149771
30,9,0.017578125,2546108567.6913013
31,3,0.005859375,2391105297.5801177
