node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,30,0.05859375,2435382603.008502
1,27,0.052734375,2758447787.2247653
2,58,0.11328125,2629090458.041091
3,10,0.01953125,2420340091.563113
4,13,0.025390625,2233083463.2992907
5,8,0.015625,2320225637.671681
6,8,0.015625,2358976455.199477
7,8,0.015625,2358485938.5219097
8,3,0.005859375,2631131458.469588
9,4,0.0078125,2316056245.912361
10,1,0.001953125,2614780902.550687
11,17,0.033203125,2391797791.7131534
12,61,0.119140625,2487085741.2430716
13,53,0.103515625,2361970457.9389663
14,1,0.001953125,2544146500.9810333
15,22,0.04296875,2387627088.4119153
16,50,0.09765625,2410961412.6880317
17,40,0.078125,2395421844.3427076
18,3,0.005859375,2562459123.610203
19,3,0.005859375,2342053629.823414
20,33,0.064453125,2446340448.302515
21,0,0.0,
22,27,0.052734375,2692827556.1369085
23,0,0.0,
24,0,0.0,
25,2,0.00390625,2299869195.5526485
26,11,0.021484375,2540400737.2614303
27,3,0.005859375,2374754741.6612163
28,1,0.001953125,2240026160.88947
29,4,0.0078125,2305755395.6834536
30,1,0.001953125,2540222367.5604973
31,10,0.01953125,3132374100.7194247
