node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,24,0.046875,2456180510.1373444
1,58,0.11328125,3665366139.6901293
2,28,0.0546875,1993926936.3729794
3,38,0.07421875,2017796289.2843623
4,43,0.083984375,2099441799.625839
5,7,0.013671875,2193216855.087359
6,5,0.009765625,2493132766.5140615
7,7,0.013671875,2435111650.9389887
8,1,0.001953125,2308698495.7488556
9,2,0.00390625,2595160235.4480057
10,1,0.001953125,2603008502.2890778
11,53,0.103515625,2231178350.6299586
12,29,0.056640625,2195913488.6448207
13,3,0.005859375,2413996075.866579
14,5,0.009765625,2433878351.863963
15,19,0.037109375,1869505352.6556747
16,0,0.0,
17,2,0.00390625,2161543492.4787445
18,8,0.015625,2706017004.5781555
19,11,0.021484375,2763897972.531066
20,2,0.00390625,2454872465.6638327
21,11,0.021484375,2464771984.06564
22,42,0.08203125,2482761842.4740725
23,0,0.0,
24,12,0.0234375,2112001308.0444734
25,23,0.044921875,2287030454.6876335
26,43,0.083984375,3188982006.78358
27,7,0.013671875,2426702793.609268
28,1,0.001953125,2720732504.9051666
29,2,0.00390625,2242969260.954872
30,12,0.0234375,1754251144.5389144
31,13,0.025390625,1975599939.6287167
