,Unit 1,Unit 2,Unit 3,Unit 4
Unit 1,0.0,3615.100742059829,4563.286504587494,2268.5281895906332
Unit 2,3615.100742059829,0.0,4103.275078279903,2922.621160380559
Unit 3,4563.286504587494,4103.275078279903,0.0,2325.848415417977
Unit 4,2268.5281895906332,2922.621160380559,2325.848415417977,0.0
