point_id,source_index,freq_hz,cell_volume,regime_intensity,density_proxy,neighbor_degree,cell_anisotropy,volume_gradient,regime_boundary
0,0,1000000000.0,0.0016986205333239758,1.31808519338271e-06,588.7130055200847,12.0,11.166551989887752,0.0,0
1,1,1001962066.7102681,2.6625577792855532e-05,2.0660753338090484e-08,37557.86898680794,8.0,5.577579477241912,0.0016719949555311202,0
2,3,1005886200.1308044,44.31732821008126,0.03438908983967212,0.02256453717741266,13.0,51.93487994747005,44.31730158450346,0
3,9,1017658600.3924134,8.364289530457846e-05,6.490470335766128e-08,11955.587912195024,10.0,16.255263426176455,44.31724456718595,0
4,10,1019620667.1026815,0.0,0.0,0.0,5.0,11.25924144288108,8.364289530457846e-05,0
5,14,1027468933.9437541,4.664882792279088e-05,3.619827275569688e-08,21436.765361358022,10.0,4.999207832808977,4.664882792279088e-05,0
6,23,1045127534.3361675,0.0,0.0,0.0,8.0,7.943905494808641,4.664882792279088e-05,0
7,25,1049051667.7567037,0.0,0.0,0.0,21.0,23.13120063411712,0.0,0
8,27,1052975801.17724,0.0,0.0,0.0,6.0,262.0107705976954,0.0,0
9,29,1056899934.5977763,0.19094547293778777,0.00014816870259436215,5.237097191199576,10.0,7.977436219252923,0.19094547293778777,0
10,30,1058862001.3080444,0.0,0.0,0.0,6.0,157.5205983079036,0.19094547293778777,0
11,31,1060824068.0183126,0.0,0.0,0.0,6.0,699.0386021616437,0.0,0
12,32,1062786134.7285807,0.0,0.0,0.0,8.0,15.82546948137927,0.0,0
13,36,1070634401.5696534,0.0641788038572895,4.98010764816135e-05,15.581468333502407,9.0,46.031168155491535,0.0641788038572895,0
14,42,1082406801.8312624,9.239979296397859,0.007169982735291654,0.1082253507201834,13.0,41.06023341073743,9.175800492540569,0
15,47,1092217135.382603,0.0,0.0,0.0,6.0,350.1753969366184,9.239979296397859,0
16,50,1098103335.5134075,0.0,0.0,0.0,5.0,2316.1079737876794,0.0,0
17,54,1105951602.35448,0.0,0.0,0.0,7.0,13.475117879384685,0.0,0
18,55,1107913669.0647483,0.0,0.0,0.0,10.0,6.679281792372888,0.0,0
19,56,1109875735.7750163,0.0,0.0,0.0,10.0,9.701334754427005,0.0,0
20,59,1115761935.9058208,0.0,0.0,0.0,6.0,848.6561687701028,0.0,0
21,60,1117724002.6160889,0.0,0.0,0.0,7.0,1155.3713767168388,0.0,0
22,62,1121648136.0366251,71.3969005441861,0.05540213109078241,0.014006210246915498,20.0,173.68222706228417,71.3969005441861,0
23,63,1123610202.7468934,0.0,0.0,0.0,19.0,98.34726133018239,71.3969005441861,0
24,72,1141268803.1393068,0.0,0.0,0.0,9.0,419.49827421410055,0.0,0
25,79,1155003270.111184,0.0,0.0,0.0,6.0,175.83059340910754,0.0,0
26,81,1158927403.5317202,2.905089261278165e-05,2.2542734328383007e-08,34422.34904471323,12.0,4.878608067112234,2.905089261278165e-05,0
27,82,1160889470.2419882,14.39432181645799,0.011169617982853092,0.06947183846178592,11.0,154.91605672674385,14.394292765565378,0
28,83,1162851536.9522564,83.26278507324567,0.06460974774047432,0.01201016755709403,18.0,211.80499293409156,68.86846325678768,0
29,85,1166775670.3727927,0.008704249377417083,6.754270302757436e-06,114.88641427020507,18.0,21.297578316880138,83.25408082386825,0
30,89,1174623937.2138653,3.656045274191609e-06,2.836995696042061e-09,273519.5139785562,8.0,3.3002433514347964,0.00870059333214289,0
31,91,1178548070.6344016,0.0,0.0,0.0,12.0,178.7805754826805,3.656045274191609e-06,0
32,92,1180510137.3446698,0.0,0.0,0.0,13.0,14.844783205074998,0.0,0
33,93,1182472204.0549378,0.0,0.0,0.0,6.0,28.44211533489003,0.0,0
