,Unit 1,Unit 2,Unit 3,Unit 4
Unit 1,0.0,2987875804.155433,2868961937.794705,2984660416.4948335
Unit 2,2987875804.155433,0.0,119525648.60605274,3251982.136164791
Unit 3,2868961937.794705,119525648.60605274,0.0,116312691.68014582
Unit 4,2984660416.4948335,3251982.136164791,116312691.68014582,0.0
