source_index,freq_hz,node_id
0,1000000000.0,27
1,1001962066.7102681,27
3,1005886200.1308044,0
9,1017658600.3924134,27
10,1019620667.1026815,27
14,1027468933.9437541,15
23,1045127534.3361675,15
25,1049051667.7567037,27
27,1052975801.17724,15
29,1056899934.5977763,27
30,1058862001.3080444,27
31,1060824068.0183126,15
32,1062786134.7285807,27
36,1070634401.5696534,15
42,1082406801.8312624,15
47,1092217135.382603,15
50,1098103335.5134075,15
54,1105951602.35448,27
55,1107913669.0647483,15
56,1109875735.7750163,15
59,1115761935.9058208,15
60,1117724002.6160889,15
62,1121648136.0366251,15
63,1123610202.7468934,15
72,1141268803.1393068,15
79,1155003270.111184,15
81,1158927403.5317202,14
82,1160889470.2419882,15
83,1162851536.9522564,15
85,1166775670.3727927,15
89,1174623937.2138653,14
91,1178548070.6344016,15
92,1180510137.3446698,14
93,1182472204.0549378,15
97,1190320470.8960104,15
104,1204054937.8678875,15
105,1206017004.5781558,15
106,1207979071.2884238,14
109,1213865271.4192283,14
116,1227599738.3911052,14
120,1235448005.232178,14
121,1237410071.942446,15
123,1241334205.3629823,14
125,1245258338.7835186,15
126,1247220405.4937868,14
131,1257030739.0451276,14
132,1258992805.7553957,14
134,1262916939.175932,14
137,1268803139.3067365,14
140,1274689339.437541,14
141,1276651406.147809,14
142,1278613472.858077,14
145,1284499672.9888816,14
147,1288423806.4094179,14
151,1296272073.2504907,14
153,1300196206.6710267,14
154,1302158273.381295,14
157,1308044473.5120995,14
160,1313930673.6429038,14
162,1317854807.06344,14
165,1323741007.1942446,14
171,1335513407.4558535,14
173,1339437540.8763897,2
175,1343361674.296926,14
176,1345323741.0071943,14
177,1347285807.7174625,14
183,1359058207.9790714,14
184,1361020274.6893394,14
186,1364944408.1098757,2
188,1368868541.530412,14
190,1372792674.9509482,14
196,1384565075.2125573,14
198,1388489208.6330936,2
199,1390451275.3433616,14
200,1392413342.0536299,2
205,1402223675.6049705,14
206,1404185742.3152387,2
207,1406147809.025507,2
208,1408109875.735775,2
219,1429692609.5487247,2
224,1439502943.1000655,2
231,1453237410.0719423,2
238,1466971877.0438194,2
239,1468933943.7540877,2
243,1476782210.5951602,2
245,1480706344.0156965,2
246,1482668410.7259645,2
248,1486592544.146501,3
250,1490516677.5670373,3
253,1496402877.6978416,3
255,1500327011.1183782,3
256,1502289077.8286462,2
259,1508175277.9594507,2
262,1514061478.090255,3
266,1521909744.9313278,3
267,1523871811.6415958,2
269,1527795945.0621321,2
271,1531720078.4826684,3
273,1535644211.9032047,3
275,1539568345.323741,3
276,1541530412.0340092,3
278,1545454545.4545455,3
280,1549378678.8750818,3
282,1553302812.295618,3
290,1568999345.9777632,3
292,1572923479.3982997,3
293,1574885546.1085677,3
295,1578809679.529104,3
299,1586657946.3701766,3
303,1594506213.2112494,3
311,1610202746.8933945,3
312,1612164813.6036625,3
316,1620013080.444735,3
326,1639633747.5474167,3
327,1641595814.2576847,3
