point_id,source_index,freq_hz,cell_volume,regime_intensity,density_proxy,neighbor_degree,cell_anisotropy,volume_gradient,regime_boundary
0,0,1000000000.0,0.0,0.0,0.0,6.0,91.72330935780575,0.0,0
1,4,1007848266.8410726,0.0,0.0,0.0,8.0,30.085671354913266,0.0,0
2,15,1029431000.6540222,0.0002010181737908271,1.185149231536193e-06,4974.67455885801,16.0,28.13880508363947,0.0002010181737908271,0
3,16,1031393067.3642904,0.0008091637877994405,4.770612642692223e-06,1235.8437362646987,9.0,7.947665265560398,0.0006081456140086134,0
4,20,1039241334.205363,0.06976548253993071,0.00041131857115559757,14.333735875951405,10.0,44.98809523071528,0.06895631875213128,0
5,24,1047089601.0464356,7.1253656582412015,0.04200924461221171,0.14034367469173448,28.0,104.38827873456921,7.0556001757012705,0
6,26,1051013734.4669719,1.7533265869893832e-05,1.0337143244394879e-07,57034.43673221494,11.0,6.878468677568277,7.125348124975331,0
7,28,1054937867.8875082,0.0,0.0,0.0,12.0,7.763662139337502,1.7533265869893832e-05,0
8,38,1074558534.9901896,0.0,0.0,0.0,11.0,4.708074476790875,0.0,0
9,39,1076520601.7004578,0.0,0.0,0.0,5.0,186.06686627697292,0.0,0
10,40,1078482668.410726,0.0005861703054644004,3.455902886638255e-06,1705.9888380080074,10.0,13.605800356147649,0.0005861703054644004,0
11,43,1084368868.5415304,0.001857760138987122,1.0952855453707382e-05,538.2826224309733,15.0,13.51801789468626,0.0012715898335227214,0
12,53,1103989535.644212,8.24714050610165,0.04862292821020243,0.12125414854518708,18.0,96.40660743918518,8.245282745962662,0
13,56,1109875735.7750163,0.05170883689506957,0.0003048614319498833,19.33905421253076,10.0,7.091107086180886,8.19543166920658,0
14,62,1121648136.0366251,0.0,0.0,0.0,11.0,32.90071824389067,0.05170883689506957,0
15,66,1129496402.877698,0.003324741812784742,1.9601785899111038e-05,300.7752348930949,6.0,3.8350892610046916,0.003324741812784742,0
16,67,1131458469.587966,0.242779480665171,0.0014313626948102998,4.11896424383175,8.0,15.013927980603757,0.23945473885238625,0
17,68,1133420536.2982342,126.86803989292933,0.7479799321133294,0.007882205800956216,22.0,118.22268518366612,126.62526041226415,1
18,71,1139306736.4290385,0.0051720660906053855,3.049311431469728e-05,193.34633051636132,12.0,56.26982584019542,126.86286782683872,1
19,74,1145192936.559843,1.0154964320750282,0.005987094566652484,0.9847400428139879,25.0,206.377394993232,1.0103243659844228,0
20,75,1147155003.270111,0.0,0.0,0.0,12.0,141.07872870214675,1.0154964320750282,0
21,77,1151079136.6906476,0.0,0.0,0.0,11.0,26.674985073765836,0.0,0
22,78,1153041203.4009156,0.6052157375249956,0.0035681896453189726,1.6523033655532586,15.0,41.62311725210417,0.6052157375249956,0
23,79,1155003270.111184,2.13893534955275e-05,1.2610589072736448e-07,46752.229021642495,10.0,8.153427810339807,0.6051943481715001,0
24,80,1156965336.821452,0.006173552467573798,3.6397609354499704e-05,161.98129117561675,16.0,27.874301289440073,0.006152163114078271,0
25,83,1162851536.9522564,8.098595989919735e-06,4.7747149588389354e-08,123478.17791707537,9.0,4.108932911560828,0.006165453871583878,0
26,89,1174623937.2138653,3.136743839037294e-05,1.849340027449088e-07,31880.192308809,9.0,4.29040027094076,2.3268842400453205e-05,0
27,90,1176586003.9241333,1.076085408916352e-05,6.344310921715878e-08,92929.41794254137,8.0,9.150726286455924,2.060658430120942e-05,0
28,94,1184434270.765206,0.00010561049466460026,6.226511475731044e-07,9468.75586282464,9.0,23.92188028555515,9.484964057543674e-05,0
29,95,1186396337.475474,0.0,0.0,0.0,8.0,16.338950273822043,0.00010561049466460026,0
30,97,1190320470.8960104,0.03216752819019732,0.00018965111758850747,31.087250287190276,13.0,19.599992042287194,0.03216752819019732,0
31,98,1192282537.6062787,0.0,0.0,0.0,31.0,2578.877447611036,0.03216752819019732,0
32,100,1196206671.026815,0.03378414956364396,0.00019918228356367415,29.599679520911415,10.0,7.454802682615921,0.03378414956364396,0
33,104,1204054937.8678875,0.0,0.0,0.0,28.0,2732.1286510507366,0.03378414956364396,0
34,105,1206017004.5781558,0.8242371148907939,0.004859480935952115,1.213243109212912,19.0,252.876824357901,0.8242371148907939,0
35,108,1211903204.70896,1.2850426330546037e-05,7.576266664528847e-08,77818.42379847988,11.0,5.258188251121058,0.8242242644644633,0
36,110,1215827338.1294963,5.817388302498539e-05,3.429776097472632e-07,17189.84415017751,11.0,17.4939866930241,4.532345669443935e-05,0
37,111,1217789404.8397646,0.02671515486736553,0.00015750538702224263,37.4319372254188,11.0,10.99592599853049,0.026656980984340547,0
38,114,1223675604.9705691,2.1375216778888175,0.012602254443809326,0.46783151270176115,11.0,45.400715972858954,2.110806523021452,0
39,115,1225637671.6808372,0.00030375335660425223,1.7908483117087e-06,3292.1446791144904,13.0,30.37558912734206,2.137217924532213,0
40,128,1251144538.914323,0.0,0.0,0.0,7.0,172.28671156341719,0.00030375335660425223,0
41,130,1255068672.3348594,0.2025951322382323,0.0011944465555386067,4.935952749442966,24.0,796.0478941180731,0.2025951322382323,0
42,132,1258992805.7553957,0.009181711905910533,5.413291049395226e-05,108.9121516922524,8.0,37.021575994348936,0.19341342033232178,0
43,133,1260954872.465664,0.0,0.0,0.0,8.0,8.392424288761221,0.009181711905910533,0
44,135,1264879005.8862002,1124.6852148633936,0.9999999999999941,0.000889137677622499,23.0,1642.1435958657032,1124.6852148633936,1
45,138,1270765206.0170045,0.0,0.0,0.0,6.0,1669.5875941368067,1124.6852148633936,1
46,140,1274689339.437541,0.0,0.0,0.0,9.0,15.775200820996167,0.0,0
47,141,1276651406.147809,3.7179009898442157,0.021919746945997735,0.26896897005361947,28.0,344.5648645346956,3.7179009898442157,0
48,142,1278613472.858077,0.011076813302974057,6.53059199888554e-05,90.27867244464862,16.0,29.151948435741915,3.7068241765412417,0
49,143,1280575539.5683453,0.0,0.0,0.0,10.0,37.61536868250016,0.011076813302974057,0
50,144,1282537606.2786136,0.03884089465281242,0.000228995496187616,25.746059891590196,7.0,42.24656234169744,0.03884089465281242,0
51,145,1284499672.9888816,0.0,0.0,0.0,11.0,24.775980884817578,0.03884089465281242,0
52,148,1290385873.1196861,0.0,0.0,0.0,11.0,34.52536832683049,0.0,0
53,150,1294310006.5402224,0.0958492987803431,0.0005651017549836592,10.433044505429896,16.0,103.6235384171968,0.0958492987803431,0
54,156,1306082406.8018312,0.05481863862716831,0.0003231959887888179,18.241970706039286,13.0,57.51528995713343,0.04103066015317478,0
55,161,1315892740.353172,3.7460351375173526,0.02208561833397204,0.2669489108589817,10.0,148.49790144209396,3.691216498890184,0
56,168,1329627207.325049,0.0,0.0,0.0,9.0,391.9705943862654,3.7460351375173526,0
57,172,1337475474.1661217,655.7082089187071,0.9999999999999941,0.0015250685997191408,23.0,384.37744280797295,655.7082089187071,1
58,173,1339437540.8763897,0.00011360203075314867,6.697671007007668e-07,8802.659464515109,8.0,30.69573950824816,655.7080953166763,1
59,178,1349247874.4277306,0.0,0.0,0.0,8.0,177.36008592963813,0.00011360203075314867,0
60,180,1353172007.8482668,17.355290752018142,0.10232213888901667,0.05761931703066735,9.0,294.03868567996193,17.355290752018142,0
61,181,1355134074.558535,0.0,0.0,0.0,16.0,173.86865221358227,17.355290752018142,0
62,184,1361020274.6893394,0.0,0.0,0.0,13.0,134.50314467677964,0.0,0
63,185,1362982341.3996077,0.0,0.0,0.0,8.0,360.9066626818939,0.0,0
64,186,1364944408.1098757,0.0,0.0,0.0,12.0,77.4945361375656,0.0,0
65,187,1366906474.820144,0.0,0.0,0.0,8.0,13.041509390040748,0.0,0
66,188,1368868541.530412,4.61677529480496,0.02721926873391514,0.21660140165908365,8.0,172.24809953521768,4.61677529480496,0
67,190,1372792674.9509482,0.0,0.0,0.0,10.0,83.52784976378294,4.61677529480496,0
68,192,1376716808.3714848,0.0,0.0,0.0,11.0,17.08728301376844,0.0,0
69,193,1378678875.0817528,6.848893407055566e-05,4.0379238380164803e-07,14600.89865567079,9.0,9.729594221434528,6.848893407055566e-05,0
70,196,1384565075.2125573,0.0,0.0,0.0,11.0,116.39799892052996,6.848893407055566e-05,0
71,202,1396337475.4741662,0.8501951634732527,0.005012522627404811,1.176200527786564,18.0,604.6776042243619,0.8501951634732527,0
72,203,1398299542.1844344,0.0,0.0,0.0,12.0,30.184353456805535,0.8501951634732527,0
73,205,1402223675.6049705,0.0,0.0,0.0,10.0,132.14794694603847,0.0,0
74,207,1406147809.025507,0.011767245202620225,6.937652126764918e-05,84.98165736296097,12.0,35.789606447198466,0.011767245202620225,0
75,208,1408109875.735775,35.982644495719846,0.2121440199586988,0.027791175829751,9.0,190.00218020122708,35.970877250517226,0
76,212,1415958142.5768476,0.0,0.0,0.0,12.0,275.81117259637017,35.982644495719846,0
77,218,1427730542.8384566,0.0,0.0,0.0,11.0,63.332400853458644,0.0,0
78,220,1431654676.2589927,0.0,0.0,0.0,10.0,146.81944166844644,0.0,0
79,221,1433616742.969261,0.0004196712411304144,2.4742690650503126e-06,2382.8175476680535,8.0,17.69398357064808,0.0004196712411304144,0
80,222,1435578809.6795292,4.85540742600893,0.028626179768787622,0.2059559398956101,13.0,39.05796867033991,4.8549877547678,0
81,223,1437540876.3897972,0.0,0.0,0.0,12.0,170.44459069106696,4.85540742600893,0
82,227,1445389143.2308698,0.0,0.0,0.0,13.0,5.76758312623657,0.0,0
83,229,1449313276.6514063,0.0,0.0,0.0,9.0,10.478307807046596,0.0,0
84,230,1451275343.3616743,0.0,0.0,0.0,10.0,22.477876612271974,0.0,0
85,233,1457161543.4924788,1302.6770950593243,0.9999999999999941,0.0007676499447120923,31.0,220.15202339361696,1302.6770950593243,1
86,237,1465009810.3335514,0.0012393200326315092,7.306698477069075e-06,806.8940813211553,9.0,30.621399471108205,1302.6758557392916,1
87,238,1466971877.0438194,0.0,0.0,0.0,13.0,43.339377320767284,0.0012393200326315092,0
88,247,1484630477.4362328,4.805875647173336,0.028334153687182142,0.20807862571058416,7.0,136.88062761340555,4.805875647173336,0
89,249,1488554610.856769,0.0003807722333631765,2.2449309495283116e-06,2626.241909871534,10.0,5.876381660610159,4.805494874939972,0
90,251,1492478744.2773054,2.7804663473000962e-05,1.639288375111746e-07,35965.18853773709,8.0,9.755157788437568,0.00035296756989017556,0
