node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,30,0.05859375,2422302158.273382
1,71,0.138671875,3582549581.333653
2,4,0.0078125,2528449967.298888
3,25,0.048828125,1928214519.293656
4,39,0.076171875,2126025054.0826085
5,30,0.05859375,2257684761.2818832
6,28,0.0546875,2312482481.54723
7,19,0.037109375,2054455956.765688
8,20,0.0390625,2321157619.3590584
9,7,0.013671875,2266934504.3445764
10,20,0.0390625,1953858731.1968608
11,7,0.013671875,2241988227.5997386
12,36,0.0703125,1949803793.328973
13,19,0.037109375,2778458572.8546352
14,3,0.005859375,2382603008.5022893
15,5,0.009765625,2665402223.675605
16,2,0.00390625,2432308698.4957485
17,22,0.04296875,2174653665.4973545
18,1,0.001953125,2693263570.9614124
19,28,0.0546875,1759319816.8737738
20,56,0.109375,3034347846.3982058
21,3,0.005859375,2480706344.0156965
22,4,0.0078125,2492151733.158927
23,8,0.015625,2568672334.859385
24,1,0.001953125,2834532374.1007195
25,9,0.017578125,2123610202.7468932
26,8,0.015625,2380068672.3348594
27,0,0.0,
28,4,0.0078125,2260627861.347286
29,0,0.0,
30,2,0.00390625,2430346631.7854805
31,1,0.001953125,2689339437.5408764
