,Unit 1,Unit 2,Unit 3,Unit 4
Unit 1,0.0,2.829986388889915,2.450515689294872,12.572960441849952
Unit 2,2.829986388889915,0.0,2.451602145141826,9.903071210074534
Unit 3,2.450515689294872,2.451602145141826,0.0,11.315775171889472
Unit 4,12.572960441849952,9.903071210074534,11.315775171889472,0.0
