source_index,freq_hz,node_id
0,1000000000.0,0
1,1001962066.7102681,0
10,1019620667.1026815,1
19,1037279267.4950948,2
20,1039241334.205363,23
25,1049051667.7567037,20
27,1052975801.17724,2
39,1076520601.7004578,5
40,1078482668.410726,20
42,1082406801.8312624,2
46,1090255068.672335,13
47,1092217135.382603,4
54,1105951602.35448,15
55,1107913669.0647483,1
61,1119686069.3263571,4
62,1121648136.0366251,2
66,1129496402.877698,0
70,1137344669.7187705,28
71,1139306736.4290385,4
74,1145192936.559843,22
76,1149117069.9803793,13
84,1164813603.6625245,4
87,1170699803.793329,20
88,1172661870.5035973,20
94,1184434270.765206,13
97,1190320470.8960104,15
101,1198168737.737083,15
104,1204054937.8678875,4
106,1207979071.2884238,2
110,1215827338.1294963,18
114,1223675604.9705691,15
115,1225637671.6808372,28
122,1239372138.6527143,22
123,1241334205.3629823,18
126,1247220405.4937868,13
127,1249182472.2040548,4
128,1251144538.914323,4
132,1258992805.7553957,25
133,1260954872.465664,28
137,1268803139.3067365,23
146,1286461739.6991498,2
157,1308044473.5120995,13
158,1310006540.2223675,24
159,1311968606.9326358,18
164,1321778940.4839764,1
169,1331589274.0353172,13
170,1333551340.7455854,4
171,1335513407.4558535,13
184,1361020274.6893394,4
188,1368868541.530412,25
189,1370830608.2406802,2
192,1376716808.3714848,4
200,1392413342.0536299,20
201,1394375408.763898,20
205,1402223675.6049705,4
207,1406147809.025507,20
208,1408109875.735775,4
209,1410071942.4460433,4
215,1421844342.707652,13
216,1423806409.41792,13
220,1431654676.2589927,5
221,1433616742.969261,15
226,1443427076.5206017,22
227,1445389143.2308698,13
228,1447351209.941138,18
231,1453237410.0719423,5
235,1461085676.9130151,15
236,1463047743.6232831,13
241,1472858077.174624,30
244,1478744277.3054285,13
246,1482668410.7259645,5
251,1492478744.2773054,2
252,1494440810.9875736,4
254,1498364944.40811,4
256,1502289077.8286462,25
258,1506213211.2491825,25
259,1508175277.9594507,15
260,1510137344.6697187,15
261,1512099411.379987,5
267,1523871811.6415958,18
269,1527795945.0621321,24
274,1537606278.613473,25
276,1541530412.0340092,5
280,1549378678.8750818,2
281,1551340745.58535,15
282,1553302812.295618,15
283,1555264879.005886,15
285,1559189012.4264226,15
286,1561151079.1366906,22
288,1565075212.557227,23
290,1568999345.9777632,13
294,1576847612.8188357,30
295,1578809679.529104,25
296,1580771746.2393723,20
299,1586657946.3701766,18
302,1592544146.500981,2
304,1596468279.9215174,4
306,1600392413.3420537,15
315,1618051013.734467,4
318,1623937213.8652716,30
321,1629823413.9960759,13
322,1631785480.7063441,4
329,1645519947.6782212,28
332,1651406147.8090255,13
343,1672988881.6219752,0
348,1682799215.173316,2
350,1686723348.593852,2
353,1692609548.7246566,4
355,1696533682.145193,5
360,1706344015.6965337,22
361,1708306082.4068017,18
365,1716154349.2478745,25
366,1718116415.9581428,25
368,1722040549.3786788,4
369,1724002616.088947,5
371,1727926749.5094833,13
373,1731850882.9300196,2
374,1733812949.6402879,2
375,1735775016.350556,13
376,1737737083.060824,2
382,1749509483.322433,2
384,1753433616.7429693,2
386,1757357750.1635056,20
387,1759319816.8737736,20
389,1763243950.29431,1
390,1765206017.004578,20
393,1771092217.1353827,2
396,1776978417.2661872,22
399,1782864617.3969915,4
400,1784826684.1072598,22
401,1786788750.8175278,18
402,1788750817.5277958,0
414,1812295618.0510137,22
417,1818181818.1818182,13
420,1824068018.3126225,20
421,1826030085.0228908,2
425,1833878351.8639634,18
426,1835840418.5742316,4
431,1845650752.1255722,20
432,1847612818.8358405,4
433,1849574885.5461087,2
434,1851536952.2563767,13
435,1853499018.9666448,5
438,1859385219.0974493,13
447,1877043819.4898627,13
448,1879005886.200131,2
449,1880967952.910399,4
450,1882930019.620667,4
452,1886854153.0412035,2
454,1890778286.4617395,4
457,1896664486.592544,2
458,1898626553.3028123,20
461,1904512753.4336166,1
468,1918247220.4054937,13
469,1920209287.115762,13
472,1926095487.2465663,2
474,1930019620.6671028,4
475,1931981687.3773708,13
479,1939829954.2184434,15
481,1943754087.63898,2
482,1945716154.349248,2
484,1949640287.7697842,2
487,1955526487.9005885,1
490,1961412688.031393,5
491,1963374754.741661,4
502,1984957488.5546107,4
503,1986919555.264879,13
504,1988881621.9751472,4
506,1992805755.3956835,18
508,1996729888.8162198,5
509,1998691955.5264878,5
513,2006540222.3675604,30
518,2016350555.9189012,22
520,2020274689.3394375,5
522,2024198822.759974,15
524,2028122956.18051,5
526,2032047089.6010466,20
531,2041857423.1523871,5
533,2045781556.5729237,18
535,2049705689.9934597,15
540,2059516023.5448005,15
541,2061478090.2550688,15
545,2069326357.0961413,5
546,2071288423.8064094,15
549,2077174623.937214,18
550,2079136690.647482,13
551,2081098757.3577502,13
554,2086984957.4885547,2
555,2088947024.1988227,5
556,2090909090.909091,4
558,2094833224.3296273,13
559,2096795291.0398953,13
566,2110529758.0117724,1
572,2122302158.2733812,0
582,2141922825.3760629,6
585,2147809025.5068674,13
586,2149771092.2171354,4
587,2151733158.9274035,4
588,2153695225.6376715,6
589,2155657292.34794,6
591,2159581425.7684765,1
594,2165467625.8992805,6
596,2169391759.3198166,0
602,2181164159.5814257,7
603,2183126226.2916937,6
604,2185088293.001962,7
605,2187050359.71223,7
606,2189012426.4224987,7
608,2192936559.8430347,22
609,2194898626.553303,7
614,2204708960.104644,7
618,2212557226.945716,23
622,2220405493.786789,8
624,2224329627.207325,8
627,2230215827.3381295,27
632,2240026160.88947,27
634,2243950294.3100066,8
643,2261608894.70242,10
644,2263570961.4126883,10
647,2269457161.5434923,10
652,2279267495.0948334,11
655,2285153695.2256374,12
657,2289077828.646174,14
658,2291039895.3564425,12
663,2300850228.9077826,14
669,2312622629.1693916,17
670,2314584695.8796597,17
674,2322432962.7207327,19
676,2326357096.1412687,3
682,2338129496.402878,21
685,2344015696.533682,21
686,2345977763.2439504,21
687,2347939829.9542184,3
689,2351863963.374755,31
691,2355788096.795291,3
692,2357750163.505559,3
694,2361674296.9260955,3
695,2363636363.636364,3
697,2367560497.0569,31
699,2371484630.477436,3
701,2375408763.8979726,3
703,2379332897.318509,3
705,2383257030.739045,3
708,2389143230.8698497,21
709,2391105297.5801177,17
718,2408763897.9725313,3
719,2410725964.6827993,21
720,2412688031.3930674,3
722,2416612164.8136034,21
729,2430346631.7854805,3
730,2432308698.495749,3
732,2436232831.9162855,3
735,2442119032.0470896,29
737,2446043165.4676256,17
741,2453891432.3086987,31
742,2455853499.0189667,17
745,2461739699.149771,3
755,2481360366.252453,29
760,2491170699.8037934,17
761,2493132766.5140615,17
766,2502943100.065402,17
767,2504905166.77567,16
769,2508829300.196207,17
770,2510791366.906475,17
771,2512753433.616743,17
773,2516677567.037279,16
774,2518639633.747547,16
783,2536298234.139961,12
784,2538260300.8502293,12
788,2546108567.6913013,14
790,2550032701.111838,14
794,2557880967.9529104,11
795,2559843034.6631784,12
796,2561805101.3734465,11
797,2563767168.083715,14
800,2569653368.2145195,14
801,2571615434.9247875,11
802,2573577501.6350555,14
803,2575539568.3453236,14
809,2587311968.6069326,10
812,2593198168.737737,10
815,2599084368.8685417,9
817,2603008502.2890778,10
823,2614780902.550687,7
830,2628515369.522564,8
831,2630477436.232832,8
832,2632439502.9431,8
833,2634401569.653368,7
834,2636363636.3636365,27
836,2640287769.784173,7
838,2644211903.204709,27
841,2650098103.335513,27
849,2665794637.0176587,7
850,2667756703.7279267,7
851,2669718770.438195,7
852,2671680837.1484632,8
855,2677567037.2792673,1
858,2683453237.4100723,7
859,2685415304.1203403,7
865,2697187704.381949,6
871,2708960104.643558,0
872,2710922171.353826,23
873,2712884238.0640945,0
877,2720732504.9051666,6
880,2726618705.035971,6
882,2730542838.4565077,6
883,2732504905.1667757,4
884,2734466971.8770437,6
890,2746239372.138653,5
891,2748201438.848921,6
893,2752125572.269457,13
900,2765860039.241334,6
903,2771746239.372139,1
906,2777632439.502943,25
907,2779594506.213211,6
912,2789404839.764552,4
918,2801177240.026161,22
921,2807063440.1569653,5
929,2822759973.8391104,0
933,2830608240.6801834,20
937,2838456507.5212555,20
939,2842380640.941792,13
946,2856115107.913669,13
947,2858077174.623937,4
948,2860039241.3342056,4
951,2865925441.4650097,13
952,2867887508.1752777,4
955,2873773708.3060827,5
958,2879659908.436887,4
960,2883584041.8574233,2
961,2885546108.5676913,22
962,2887508175.27796,18
967,2897318508.8293,30
973,2909090909.090909,0
975,2913015042.5114455,2
976,2914977109.2217135,4
982,2926749509.483322,5
983,2928711576.1935906,2
985,2932635709.614127,1
990,2942446043.1654677,15
992,2946370176.5860043,2
993,2948332243.2962723,15
1002,2965990843.6886854,4
1004,2969914977.1092215,25
1008,2977763243.9502945,23
1009,2979725310.6605625,18
1013,2987573577.501635,25
1015,2991497710.9221716,15
1018,2997383911.0529757,15
1019,2999345977.7632437,20
1022,3005232177.8940487,15
1024,3009156311.3145847,18
1025,3011118378.0248528,13
1026,3013080444.735121,18
1030,3020928711.576194,28
1034,3028776978.417266,30
1036,3032701111.8378024,18
1039,3038587311.968607,22
1040,3040549378.678875,13
1041,3042511445.389143,13
1046,3052321778.940484,20
1047,3054283845.650752,20
1048,3056245912.36102,13
1049,3058207979.071288,20
1050,3060170045.7815566,25
1051,3062132112.491825,20
1054,3068018312.622629,30
1056,3071942446.043165,25
1057,3073904512.7534337,25
1061,3081752779.5945063,0
1062,3083714846.3047743,0
1063,3085676913.0150423,0
1067,3093525179.8561153,13
1070,3099411379.9869194,25
1076,3111183780.2485285,25
1078,3115107913.6690645,5
1081,3120994113.7998695,1
1085,3128842380.6409416,15
1086,3130804447.3512096,2
1091,3140614780.9025507,0
1093,3144538914.3230867,4
1094,3146500981.033355,4
1103,3164159581.4257684,22
1104,3166121648.136037,22
1109,3175931981.6873775,28
1111,3179856115.1079135,15
1114,3185742315.238718,25
1116,3189666448.6592546,4
1117,3191628515.3695226,5
1121,3199476782.210595,0
1127,3211249182.472204,1
1132,3221059516.023545,4
1135,3226945716.1543493,4
1136,3228907782.8646173,20
1139,3234793982.995422,20
1141,3238718116.4159584,13
1143,3242642249.8364944,18
1145,3246566383.257031,15
1147,3250490516.677567,18
1151,3258338783.5186396,30
1153,3262262916.939176,4
1155,3266187050.359712,28
1157,3270111183.7802486,20
1159,3274035317.2007847,5
1160,3275997383.911053,4
1163,3281883584.0418572,18
1168,3291693917.5931983,2
1170,3295618051.0137343,1
1174,3303466317.854807,20
1175,3305428384.5650754,4
1178,3311314584.69588,22
1182,3319162851.5369525,15
1183,3321124918.2472205,2
1186,3327011118.378025,1
1189,3332897318.508829,28
1203,3360366252.4525833,2
1206,3366252452.583388,20
1207,3368214519.293656,2
1208,3370176586.0039244,2
1209,3372138652.7141924,2
1213,3379986919.555265,15
1214,3381948986.265533,20
1217,3387835186.3963375,15
1221,3395683453.23741,18
1222,3397645519.947678,13
1228,3409417920.209287,13
1236,3425114453.8914323,15
1237,3427076520.6017003,15
1240,3432962720.732505,4
1244,3440810987.5735774,28
1245,3442773054.283846,20
1246,3444735120.994114,1
1253,3458469587.965991,13
1254,3460431654.676259,4
1258,3468279921.5173316,15
1260,3472204054.937868,0
1269,3489862655.3302813,25
1272,3495748855.461086,0
1277,3505559189.0124264,1
1283,3517331589.2740355,0
1287,3525179856.115108,15
1289,3529103989.535644,1
1294,3538914323.086985,4
1295,3540876389.797253,2
1296,3542838456.507521,4
1302,3554610856.76913,24
1307,3564421190.320471,25
1312,3574231523.871812,0
1315,3580117724.002616,15
1316,3582079790.7128844,25
1319,3587965990.843689,25
1324,3597776324.3950295,18
1338,3625245258.3387837,20
1339,3627207325.049052,15
1344,3637017658.6003923,2
1345,3638979725.310661,2
1347,3642903858.731197,4
1348,3644865925.441465,2
1349,3646827992.1517334,4
1353,3654676258.992806,4
1355,3658600392.413342,4
1356,3660562459.12361,4
1364,3676258992.8057556,4
1365,3678221059.5160236,15
1375,3697841726.6187053,15
1377,3701765860.0392413,25
1380,3707652060.170046,13
1384,3715500327.0111184,4
1391,3729234793.9829955,2
1398,3742969260.9548726,4
1399,3744931327.6651406,4
1402,3750817527.795945,23
1407,3760627861.3472857,1
1409,3764551994.7678223,15
1410,3766514061.4780903,20
1411,3768476128.1883583,4
1412,3770438194.898627,15
1413,3772400261.608895,13
1415,3776324395.029431,18
1416,3778286461.7396994,13
1417,3780248528.4499674,13
1418,3782210595.1602354,18
1421,3788096795.29104,2
1422,3790058862.001308,4
1423,3792020928.7115765,1
1424,3793982995.4218445,20
1429,3803793328.973185,20
1430,3805755395.683453,2
1431,3807717462.3937216,20
1433,3811641595.8142576,2
1437,3819489862.65533,18
1438,3821451929.3655987,5
1447,3839110529.758012,28
1450,3844996729.8888164,15
1451,3846958796.5990844,15
1454,3852844996.729889,2
1458,3860693263.5709615,5
1459,3862655330.2812295,5
1461,3866579463.701766,2
1462,3868541530.412034,15
1467,3878351863.9633746,18
1486,3915631131.45847,4
1489,3921517331.589274,2
1492,3927403531.7200785,15
1494,3931327665.140615,13
1498,3939175931.9816875,25
1501,3945062132.112492,20
1506,3954872465.6638327,0
1511,3964682799.2151732,2
1512,3966644865.9254417,13
1515,3972531066.056246,22
1520,3982341399.607587,30
