node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,14,0.02734375,2483602728.207045
1,26,0.05078125,2494415656.28616
2,71,0.138671875,2474783297.561695
3,31,0.060546875,2633578767.484545
4,69,0.134765625,2483009639.7190547
5,8,0.015625,2443590582.0797906
6,12,0.0234375,2451765860.0392413
7,14,0.02734375,2453611137.0643744
8,3,0.005859375,2716154349.2478747
9,70,0.13671875,2447865084.555732
10,9,0.017578125,2454109439.72095
11,3,0.005859375,2396991497.710922
12,7,0.013671875,2420256002.9898157
13,0,0.0,
14,0,0.0,
15,2,0.00390625,2442119032.0470896
16,3,0.005859375,2316546762.589928
17,9,0.017578125,2441028994.9858294
18,2,0.00390625,2313603662.5245256
19,2,0.00390625,2335186396.337476
20,52,0.1015625,2610064396.035619
21,36,0.0703125,2670154785.2626987
22,4,0.0078125,2594179202.092871
23,5,0.009765625,2441726618.705036
24,25,0.048828125,2805101373.446697
25,1,0.001953125,2557880967.9529104
26,8,0.015625,2470814257.684761
27,4,0.0078125,2634401569.653368
28,9,0.017578125,2672770874.209723
29,1,0.001953125,2155657292.34794
30,3,0.005859375,2208633093.52518
31,9,0.017578125,2543928493.5687814
