node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,24,0.046875,2463701765.860039
1,91,0.177734375,3641437698.991656
2,12,0.0234375,2476618705.035971
3,26,0.05078125,1822860592.6447651
4,40,0.078125,2302714192.2825375
5,34,0.06640625,2400684799.75378
6,42,0.08203125,2267822105.9516025
7,8,0.015625,2399934597.7763243
8,6,0.01171875,2498037933.2897315
9,20,0.0390625,2139568345.3237407
10,39,0.076171875,2271570156.462243
11,28,0.0546875,1986919555.264879
12,3,0.005859375,2319816873.7737083
13,3,0.005859375,2561805101.373447
14,3,0.005859375,2547416612.1648135
15,5,0.009765625,2714061478.090255
16,0,0.0,
17,8,0.015625,2348430346.6317854
18,19,0.037109375,2293931362.0873637
19,1,0.001953125,2569653368.2145195
20,12,0.0234375,2767168083.714846
21,38,0.07421875,2292898695.397749
22,0,0.0,
23,6,0.01171875,2195225637.671681
24,1,0.001953125,2524525833.878352
25,8,0.015625,2493623283.1916285
26,0,0.0,
27,0,0.0,
28,3,0.005859375,2371484630.477436
29,0,0.0,
30,2,0.00390625,2445062132.1124916
31,30,0.05859375,2638587311.968607
