source_index,freq_hz,node_id
0,1000000000.0,5
3,1005886200.1308044,6
6,1011772400.2616088,6
8,1015696533.6821452,6
9,1017658600.3924134,6
13,1025506867.2334859,7
15,1029431000.6540222,5
19,1037279267.4950948,6
21,1041203400.9156312,5
23,1045127534.3361675,4
25,1049051667.7567037,7
31,1060824068.0183126,14
33,1064748201.438849,4
34,1066710268.1491171,5
46,1090255068.672335,6
48,1094179202.0928712,4
49,1096141268.8031392,6
51,1100065402.2236757,4
52,1102027468.9339437,5
55,1107913669.0647483,7
56,1109875735.7750163,4
57,1111837802.4852846,4
58,1113799869.1955526,6
59,1115761935.9058208,6
60,1117724002.6160889,6
65,1127534336.1674297,7
70,1137344669.7187705,27
71,1139306736.4290385,7
75,1147155003.270111,3
77,1151079136.6906476,13
78,1153041203.4009156,14
81,1158927403.5317202,5
83,1162851536.9522564,5
84,1164813603.6625245,13
90,1176586003.9241333,7
92,1180510137.3446698,6
93,1182472204.0549378,5
97,1190320470.8960104,14
104,1204054937.8678875,3
113,1221713538.2603009,4
119,1233485938.5219097,30
127,1249182472.2040548,13
131,1257030739.0451276,1
136,1266841072.5964682,3
140,1274689339.437541,13
142,1278613472.858077,4
145,1284499672.9888816,13
151,1296272073.2504907,7
153,1300196206.6710267,4
154,1302158273.381295,7
155,1304120340.0915632,5
157,1308044473.5120995,3
158,1310006540.2223675,14
159,1311968606.9326358,3
164,1321778940.4839764,1
166,1325703073.904513,27
167,1327665140.614781,1
169,1331589274.0353172,27
172,1337475474.1661217,13
174,1341399607.586658,4
186,1364944408.1098757,7
188,1368868541.530412,7
195,1382603008.502289,14
197,1386527141.9228253,13
202,1396337475.4741662,27
205,1402223675.6049705,7
206,1404185742.3152387,5
210,1412034009.1563113,3
213,1417920209.2871158,4
214,1419882275.9973838,4
220,1431654676.2589927,5
222,1435578809.6795292,13
223,1437540876.3897972,5
227,1445389143.2308698,5
230,1451275343.3616743,4
235,1461085676.9130151,4
236,1463047743.6232831,7
237,1465009810.3335514,4
238,1466971877.0438194,4
242,1474820143.884892,14
243,1476782210.5951602,14
245,1480706344.0156965,14
253,1496402877.6978416,5
254,1498364944.40811,4
257,1504251144.5389142,3
267,1523871811.6415958,13
268,1525833878.3518639,3
274,1537606278.613473,1
277,1543492478.7442775,6
278,1545454545.4545455,5
279,1547416612.1648135,5
280,1549378678.8750818,6
283,1555264879.005886,27
293,1574885546.1085677,7
294,1576847612.8188357,7
297,1582733812.9496403,13
298,1584695879.6599083,6
300,1588620013.0804448,13
302,1592544146.500981,4
304,1596468279.9215174,4
306,1600392413.3420537,6
307,1602354480.052322,5
308,1604316546.76259,6
312,1612164813.6036625,7
313,1614126880.3139305,4
315,1618051013.734467,7
316,1620013080.444735,27
320,1627861347.2858076,6
323,1633747547.4166121,7
324,1635709614.1268802,27
326,1639633747.5474167,4
327,1641595814.2576847,4
331,1649444081.0987573,3
335,1657292347.9398298,27
336,1659254414.650098,7
337,1661216481.3603663,1
340,1667102681.491171,5
341,1669064748.201439,4
350,1686723348.593852,5
352,1690647482.0143886,14
354,1694571615.4349248,31
355,1696533682.145193,7
359,1704381948.9862657,1
362,1710268149.11707,14
363,1712230215.8273382,14
366,1718116415.9581428,7
367,1720078482.6684108,7
370,1725964682.7992153,6
371,1727926749.5094833,5
377,1739699149.7710922,27
378,1741661216.4813604,7
379,1743623283.1916285,7
385,1755395683.4532375,6
386,1757357750.1635056,7
388,1761281883.5840418,4
394,1773054283.8456507,5
395,1775016350.555919,13
398,1780902550.6867232,6
399,1782864617.3969915,13
404,1792674950.9483323,1
409,1802485284.499673,3
410,1804447351.2099411,3
420,1824068018.3126225,3
421,1826030085.0228908,3
422,1827992151.733159,3
426,1835840418.5742316,31
427,1837802485.2844996,1
429,1841726618.7050362,27
433,1849574885.5461087,3
434,1851536952.2563767,3
436,1855461085.676913,6
438,1859385219.0974493,7
440,1863309352.5179856,6
446,1875081752.7795944,7
447,1877043819.4898627,5
449,1880967952.910399,4
450,1882930019.620667,7
452,1886854153.0412035,5
453,1888816219.7514715,4
456,1894702419.882276,5
461,1904512753.4336166,4
462,1906474820.143885,5
463,1908436886.8541532,5
464,1910398953.5644212,5
473,1928057553.9568346,3
479,1939829954.2184434,1
486,1953564421.1903205,23
490,1961412688.031393,5
493,1967298888.1621976,13
497,1975147155.0032701,1
503,1986919555.264879,3
506,1992805755.3956835,1
511,2002616088.9470243,3
514,2008502289.0778286,27
515,2010464355.788097,4
517,2014388489.208633,5
520,2020274689.3394375,7
521,2022236756.0497057,7
522,2024198822.759974,17
525,2030085022.8907783,7
528,2035971223.0215826,5
530,2039895356.4421191,17
533,2045781556.5729237,3
539,2057553956.8345323,31
541,2061478090.2550688,17
542,2063440156.9653368,17
544,2067364290.385873,2
545,2069326357.0961413,2
550,2079136690.647482,3
551,2081098757.3577502,23
552,2083060824.0680184,23
553,2085022890.7782865,23
556,2090909090.909091,2
558,2094833224.3296273,1
562,2102681491.1706998,17
563,2104643557.8809679,17
564,2106605624.591236,2
565,2108567691.3015044,17
567,2112491824.7220407,2
572,2122302158.2733812,2
573,2124264224.9836495,2
574,2126226291.6939175,2
575,2128188358.4041858,2
576,2130150425.1144538,2
577,2132112491.824722,2
578,2134074558.5349903,2
582,2141922825.3760629,1
583,2143884892.086331,16
586,2149771092.2171354,23
589,2155657292.34794,12
593,2163505559.1890125,23
595,2167429692.6095486,12
596,2169391759.3198166,2
598,2173315892.740353,2
600,2177240026.1608896,12
605,2187050359.71223,26
607,2190974493.1327667,12
610,2196860693.263571,26
613,2202746893.3943753,3
614,2204708960.104644,8
626,2228253760.627861,8
629,2234139960.758666,12
633,2241988227.599738,8
635,2245912361.0202746,8
636,2247874427.730543,8
639,2253760627.861347,9
640,2255722694.571615,9
642,2259646827.9921517,9
649,2273381294.964029,9
650,2275343361.674297,9
652,2279267495.0948334,9
654,2283191628.5153694,10
656,2287115761.935906,10
657,2289077828.646174,10
658,2291039895.3564425,10
659,2293001962.0667105,10
660,2294964028.7769785,10
662,2298888162.1975145,10
667,2308698495.7488556,19
674,2322432962.7207327,29
679,2332243296.2720733,20
682,2338129496.402878,19
684,2342053629.823414,19
686,2345977763.2439504,20
690,2353826030.085023,20
696,2365598430.346632,0
698,2369522563.767168,0
702,2377370830.6082406,19
706,2385219097.449313,20
707,2387181164.159581,20
708,2389143230.8698497,20
710,2393067364.290386,20
713,2398953564.4211903,19
718,2408763897.9725313,0
720,2412688031.3930674,19
722,2416612164.8136034,0
724,2420536298.23414,19
727,2426422498.3649445,20
730,2432308698.495749,20
738,2448005232.177894,0
739,2449967298.888162,0
748,2467625899.2805758,19
751,2473512099.41138,0
752,2475474166.121648,0
754,2479398299.5421844,0
756,2483322432.962721,0
