time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
0.0,38719.1525449348,33473.14977721872,51182.26772824792,3.6157411739349513e-06,3.125849558053262e-06,4.779594093275105e-06
9.33837890625e-11,-14661.680532386312,56994.6283061205,58850.25515481295,2.2465778917968252e-06,8.44822390548761e-06,8.741830436536881e-06
1.86767578125e-10,-65252.168196551116,13396.956693714335,66613.24119876059,-3.846916818940675e-06,9.699282483452877e-06,1.0434311175428134e-05
2.801513671875e-10,-44289.08543700069,-58464.5491264777,73345.93781122626,-7.982799431160588e-06,4.239641360191715e-06,9.03878562757111e-06
3.7353515625e-10,36454.489416538614,-69867.74343509162,78806.29017618018,-4.578541081105408e-06,-2.2848732550237495e-06,5.116999533212085e-06
4.669189453125e-10,83992.73521997972,3136.383104437522,84051.27285598608,3.2650187874595926e-06,-1.991985916779767e-06,3.82470333164718e-06
5.60302734375e-10,36197.34172146591,83053.47610898115,90598.71655539983,6.645263711400195e-06,5.763862377088712e-06,8.796683425932242e-06
6.536865234374999e-10,-64437.78308971366,74982.31961917851,98866.4561162664,6.278193676952456e-07,1.2765995495823034e-05,1.278142394875576e-05
7.470703125e-10,-103523.8582892377,-27926.296085522,107224.37804970665,-9.03963077772307e-06,1.0158132152875728e-05,1.3597888565245924e-05
8.404541015625e-10,-19957.840934532895,-110902.4478132045,112683.93117800189,-1.0903369585696418e-05,-1.9835864022747554e-07,1.0905173747925459e-05
9.33837890625e-10,92030.39795461355,-65333.58200016113,112863.06342048454,-2.3092223157648547e-06,-6.299456080428069e-06,6.709370656989266e-06
1.0272216796875e-09,93865.44453181198,52773.921289993865,107683.83558119174,6.45628855665167e-06,-1.3712273466823043e-06,6.600297445042965e-06
1.12060546875e-09,-6566.038453394765,99211.92309460253,99428.96230525986,5.843127006743589e-06,7.893557952069032e-06,9.820915963371673e-06
1.2139892578125e-09,-84484.33185046497,34113.38392851423,91111.6089819168,-2.0463400178664812e-06,1.1079195001057482e-05,1.1266590848174921e-05
1.3073730468749999e-09,-62481.678833379316,-56855.25962635666,84477.69372454472,-7.881115934313646e-06,5.769835429016119e-06,9.767445379833054e-06
1.4007568359375e-09,22968.217170415246,-75812.20436254604,79215.08271974347,-5.736256786929898e-06,-1.3097954715390218e-06,5.883893787523994e-06
1.494140625e-09,73021.26910018123,-10856.75887799197,73823.9456703307,1.0827460037974753e-06,-2.323640752503848e-06,2.5635220411449658e-06
1.5875244140625e-09,37550.82553925725,55709.03580391763,67183.04227170657,4.589384375078212e-06,2.878680095884456e-06,5.417494627284218e-06
1.680908203125e-09,-29749.190956313854,51479.34438164745,59457.02027952194,1.8112922020337661e-06,7.686016332696016e-06,7.896557889841514e-06
1.7742919921874999e-09,-51644.63190595873,-3274.926109102528,51748.36370091379,-3.011479210082741e-06,7.380191323728312e-06,7.970961736678658e-06
1.86767578125e-09,-17440.52426533223,-41516.638146654666,45031.135113939825,-4.64014144921594e-06,3.5032103444569718e-06,5.814068746260414e-06
1.9610595703125e-09,25907.10538954976,-29740.18411559762,39441.81361061993,-2.2208377842982677e-06,7.259592643260905e-07,2.336479684830946e-06
2.054443359375e-09,33302.24510495949,8863.042113692525,34461.471885859515,8.890520478909423e-07,1.5536237195232074e-06,1.7900168171623988e-06
2.1478271484375e-09,6129.225275070105,28954.33646108676,29595.962602597945,1.4614223280946324e-06,4.257489368049986e-06,4.501329907939674e-06
2.2412109375e-09,-19013.156692542616,15988.84266740441,24842.367384333356,-3.1409828589402735e-07,5.7505880790563795e-06,5.759159746715392e-06
2.3345947265625e-09,-19237.404627052067,-7269.6315743558725,20565.14721590381,-2.110560021696619e-06,5.071722337554641e-06,5.4933442523143166e-06
2.427978515625e-09,-2618.3582230436637,-16820.009917834897,17022.58891650282,-2.3550722336873906e-06,3.5010060793583887e-06,4.219408583390534e-06
2.5213623046874997e-09,11119.363700968583,-8731.272594533833,14137.728609450505,-1.3167039193269212e-06,2.6856467611432543e-06,2.9910546194962955e-06
2.6147460937499998e-09,10840.438695626346,4396.51060181882,11698.051828639602,-3.0438267882958794e-07,3.0962095797945476e-06,3.1111352553662797e-06
2.7081298828125e-09,1666.2544452429092,9479.854569287627,9625.177740236035,-1.4878152519057112e-07,3.98147431923608e-06,3.98425321697485e-06
2.801513671875e-09,-5640.483961584474,5695.408632429072,8015.780611471303,-6.7551128966959e-07,4.513333157591578e-06,4.563605120284471e-06
2.8948974609375e-09,-6848.289583573145,-913.797115123032,6908.98656736888,-1.3150305195809005e-06,4.427999320547008e-06,4.619143129433636e-06
2.98828125e-09,-2948.5495262110876,-5356.45427965947,6114.3721475390985,-1.590377246576931e-06,3.927793323972363e-06,4.237553560991469e-06
3.0816650390625e-09,2373.367148558507,-4901.286866759308,5445.6849497674775,-1.3687432294080763e-06,3.47009258507211e-06,3.7302815680619725e-06
3.175048828125e-09,4874.534473761375,-835.9705456238555,4945.698442994552,-9.135407303324598e-07,3.3920264879771088e-06,3.5128905990814293e-06
