time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
0.0,-24541.74008272528,50727.24597293236,56352.02294759636,-2.2918006791119187e-06,4.737102437657868e-06,5.2623654241834976e-06
9.33837890625e-11,-63566.08202483509,-604.1385522088674,63568.95285733695,-8.227842274448691e-06,4.680685690533871e-06,9.466055515724253e-06
1.86767578125e-10,-28993.42834353718,-63653.688714951284,69945.77166728338,-1.0935358471080276e-05,-1.2635369494731763e-06,1.100811475747374e-05
2.801513671875e-10,48815.1500493793,-56843.848373736895,74927.57818240095,-6.376814795814753e-06,-6.571830895506957e-06,9.157113533164351e-06
3.7353515625e-10,76311.27313890596,21398.276158083332,79254.63160357448,7.494210380796638e-07,-4.57357878845938e-06,4.634571698286905e-06
4.669189453125e-10,14247.298659394739,83281.6025681359,84491.48386320914,2.079887770799021e-06,3.2035728185503812e-06,3.819530330141935e-06
5.60302734375e-10,-74672.17331285482,53009.139087042204,91574.57231139227,-4.893282710687055e-06,8.153767081439454e-06,9.509370815415418e-06
6.536865234374999e-10,-87065.35319099664,-48263.79566752309,99547.82618676015,-1.3023775287727147e-05,3.6467109674678767e-06,1.3524689409574729e-05
7.470703125e-10,6655.742341263301,-105518.75986356712,105728.46158560345,-1.2402236848876263e-05,-6.207030645768065e-06,1.3868767367474592e-05
8.404541015625e-10,99855.80344464979,-39562.96531214914,107407.67992032436,-3.077323563334627e-06,-9.901570253164805e-06,1.0368751795265072e-05
9.33837890625e-10,75756.46750725596,70935.76933391705,103783.07058558548,3.997102418483099e-06,-3.2773193327001394e-06,5.168911853798005e-06
1.0272216796875e-09,-29231.521692248683,92016.63486461346,96548.13800510087,1.267352162798255e-06,5.315542687738007e-06,5.464538001488727e-06
1.12060546875e-09,-87779.4971878836,12435.537253971272,88655.97956907685,-6.929829886607379e-06,6.47682027554172e-06,9.485343596253388e-06
1.2139892578125e-09,-45595.27137732446,-68477.96332602612,82268.82904996547,-1.118768909115489e-05,8.20885928744865e-08,1.1187990245679795e-05
1.3073730468749999e-09,40078.229691738794,-66388.68182978863,77548.18869787148,-7.445032143623131e-06,-6.117538067255922e-06,9.636014509324224e-06
1.4007568359375e-09,72697.87930285298,7914.128244604169,73127.3894037263,-6.56228717514424e-07,-5.378486784648233e-06,5.418372100762951e-06
1.494140625e-09,21666.845556820415,64052.59130575108,67617.94620782776,1.367103417613459e-06,6.02986890754547e-07,1.4941770125631821e-06
1.5875244140625e-09,-43850.38023633971,42098.160839388234,60787.424628212146,-2.7278112406873076e-06,4.534272662499176e-06,5.291557685852758e-06
1.680908203125e-09,-50033.14903465277,-19070.051482775372,53544.21412141072,-7.400096276271947e-06,2.753438997420665e-06,7.895748932850566e-06
1.7742919921874999e-09,-3422.9250906628367,-46853.49621061024,46978.36228875968,-7.719741990915145e-06,-1.6219180095516045e-06,7.888284632035431e-06
