time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
0.0,43609.27620337581,276.51014543297686,43610.15281838448,4.072399450144348e-06,2.5821565094754308e-08,4.072481311775406e-06
9.33837890625e-11,23442.580912648566,46567.85607420385,52135.5907149218,6.261556481171709e-06,4.374504413821066e-06,7.638283736117914e-06
1.86767578125e-10,-36459.06999088871,49390.47569325881,61389.599068628166,2.8568703797276343e-06,8.98677417765688e-06,9.42994265553962e-06
2.801513671875e-10,-69067.07832193098,-12374.07799592334,70166.79495442942,-3.5928750934507347e-06,7.831235888242651e-06,8.616090005010294e-06
3.7353515625e-10,-21010.80718552543,-74759.84805470594,77656.22254365744,-5.554943879696701e-06,8.498780071574414e-07,5.6195813130187675e-06
4.669189453125e-10,63089.04436214582,-55914.52155736675,84301.01564938607,3.3655013117262905e-07,-4.371631879486304e-06,4.384567399474351e-06
5.60302734375e-10,84701.48366692645,34693.9692990234,91531.48551782705,8.246295615205678e-06,-1.1317775687254518e-06,8.323599692346484e-06
6.536865234374999e-10,7293.953491642395,100110.04010988194,100375.40479789067,8.927432629500898e-06,8.216877299934178e-06,1.2133265261933859e-05
7.470703125e-10,-94773.18114833982,55902.64233125078,110032.09206677743,7.71538723622303e-08,1.3437277859432085e-05,1.3437499357827117e-05
8.404541015625e-10,-98335.32503433227,-64839.54374742176,117787.95601835357,-9.10577137803623e-06,7.3823155832141095e-06,1.172235709058676e-05
9.33837890625e-10,15890.426848329156,-119571.88069243009,120623.13342699582,-7.621863109118774e-06,-3.783759701174198e-06,8.50938509707814e-06
1.0272216796875e-09,111391.60412302088,-36782.25831228128,117307.3910529562,2.780306953638913e-06,-7.21862635265066e-06,7.735546081281881e-06
1.12060546875e-09,76426.14669002245,78120.12644007665,109287.28221022972,9.917270114999651e-06,7.652705636528666e-08,9.917565372823169e-06
1.2139892578125e-09,-32822.93187059406,94082.66817187262,99643.83225729705,6.852140368783287e-06,8.862323095364622e-06,1.1202347891408422e-05
1.3073730468749999e-09,-90248.04521025029,11416.972150380181,90967.33983883413,-1.5755640484336894e-06,9.928483214388162e-06,1.0052720080112858e-05
1.4007568359375e-09,-46130.68714226645,-70042.06880977371,83868.53819741192,-5.8834224058352805e-06,3.3876894351551426e-06,6.789042562434439e-06
1.494140625e-09,39510.236495699086,-66343.4881334798,77217.33746810522,-2.1938068151114275e-06,-2.8077168663722064e-06,3.563153426915589e-06
1.5875244140625e-09,69374.44917404433,5915.362417587725,69626.18552479714,4.2846421128846555e-06,-2.255317910139954e-06,4.841964158407488e-06
1.680908203125e-09,22259.93616161913,56549.670647005005,60773.10267054084,6.363359295946012e-06,3.025504605113809e-06,7.0459931624198585e-06
1.7742919921874999e-09,-34214.95214315801,38560.415316754676,51551.61083379647,3.1682374222258126e-06,6.626422295216022e-06,7.344875819108723e-06
1.86767578125e-09,-41782.72403908257,-10765.579474518767,43147.34904427279,-7.335916658965217e-07,5.621091692431982e-06,5.668758995318171e-06
1.9610595703125e-09,-7687.92517865359,-35228.705050184544,36057.81264948657,-1.4515192491081911e-06,2.33130173108052e-06,2.746247602069164e-06
2.054443359375e-09,23399.266346885455,-18687.307209656785,29945.636014627853,7.335929036466151e-07,5.862101764677952e-07,9.390425545602688e-07
2.1478271484375e-09,21997.148063605557,10142.490088244378,24222.81214314971,2.7877699383949365e-06,1.533354331436905e-06,3.1816405729049323e-06
2.2412109375e-09,1134.1460655629865,18634.59638141277,18669.077898926716,2.893680795347535e-06,3.2735235491835807e-06,4.369135494857376e-06
2.3345947265625e-09,-11195.737318277366,7666.464083339972,13569.053233037677,1.8481804232183619e-06,3.9894470139974334e-06,4.396755434892944e-06
2.427978515625e-09,-8666.438179620194,-3428.4287522712184,9319.939615178768,1.0388755883295133e-06,3.669287346579528e-06,3.8135196498504664e-06
2.5213623046874997e-09,-1656.2760849119684,-5776.867318389848,6009.612839753659,8.842062517868307e-07,3.12982158747696e-06,3.2523228414681885e-06
2.6147460937499998e-09,1639.759429169261,-3177.1413995045473,3575.3375306389203,1.0373332004336183e-06,2.8331280852038916e-06,3.017063956215201e-06
2.7081298828125e-09,1904.4302198518178,-1768.1683986176174,2598.7062065871996,1.215176110368511e-06,2.668009820440405e-06,2.9317109989180013e-06
2.801513671875e-09,3448.3429217446806,-939.8308063312709,3574.122388849594,1.537195438387881e-06,2.5802448586675265e-06,3.0034369223409225e-06
2.8948974609375e-09,4098.014476554547,2954.822200174739,5052.1972333526455,1.919883557841522e-06,2.8561773517258365e-06,3.4414679920321554e-06
