time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
0.0,43042.5253480383,-10466.751480350878,44296.8607791562,4.019474107818518e-06,-9.77424912410696e-07,4.136608703131652e-06
9.33837890625e-11,32878.384948275365,40989.45628413639,52546.39591138585,7.0897822725439395e-06,2.850325827013661e-06,7.641293738119183e-06
1.86767578125e-10,-27246.882273915035,54997.854714306835,61377.16690125561,4.545365165665888e-06,7.986233890544512e-06,9.189139037131314e-06
2.801513671875e-10,-69516.76757593178,-2138.607554288226,69549.65576102717,-1.9463739939517645e-06,7.78652261380739e-06,8.026101553037166e-06
3.7353515625e-10,-29374.499657833105,-70448.67357729578,76327.43175915466,-4.68947607381533e-06,1.2077585407322844e-06,4.84250622504486e-06
4.669189453125e-10,55994.993240422955,-60270.59151057565,82267.75473434101,5.395485635044408e-07,-4.420537663563415e-06,4.453343225865529e-06
5.60302734375e-10,84439.79893796708,27689.474349152057,88863.86574089975,8.42485693600747e-06,-1.834789631690695e-06,8.622335378814306e-06
6.536865234374999e-10,11469.284774731954,96449.30527380799,97128.84731656246,9.495902206108782e-06,7.172011947223259e-06,1.1899996389877385e-05
7.470703125e-10,-90420.6935367128,55785.499929772355,106244.64138051748,1.0520752339914359e-06,1.238147330541123e-05,1.2426091240232747e-05
8.404541015625e-10,-94546.2895602082,-62902.24250222665,113559.20474101456,-7.777015526941092e-06,6.507423560025075e-06,1.0140440419225008e-05
9.33837890625e-10,18371.12518622675,-114707.65242232959,116169.46141241248,-6.061450247709712e-06,-4.204411657636318e-06,7.376873083653282e-06
1.0272216796875e-09,108843.12131824609,-30083.410047405512,112924.03029638456,4.102732834377478e-06,-7.013714475783928e-06,8.125552747850455e-06
1.12060546875e-09,67892.10342901465,80422.74068539396,105248.06377015279,1.0442754700002014e-05,4.964657762090388e-07,1.0454549439902277e-05
1.2139892578125e-09,-40493.3666867731,87178.34895973194,96123.76018952993,6.661330686893931e-06,8.637510326281662e-06,1.0907791305153263e-05
1.3073730468749999e-09,-88050.1292048224,28.350924953741,88050.13376912531,-1.561124005695074e-06,8.64015784307727e-06,8.78005898126243e-06
1.4007568359375e-09,-34139.85413196244,-74119.59363164469,81604.18984507976,-4.749232942578774e-06,1.718589345981544e-06,5.050620049359951e-06
1.494140625e-09,49435.9879671094,-57246.00077525638,75637.4345879396,-1.3271307016194126e-07,-3.6272591150867095e-06,3.629686136151641e-06
1.5875244140625e-09,65911.26251057301,19397.251779345046,68706.24354692208,6.0223303649684724e-06,-1.8158702465321488e-06,6.2901389314594646e-06
1.680908203125e-09,8658.23799804005,59784.365434744905,60408.07425887558,6.830869435830366e-06,3.7670203244614853e-06,7.80071915750512e-06
1.7742919921874999e-09,-43168.07250841195,28249.726867980673,51590.01407449915,2.79967125847012e-06,6.405086859374231e-06,6.990228668050288e-06
1.86767578125e-09,-36981.73240438216,-22852.836617645862,43472.98785570351,-6.538230395465241e-07,4.271002385192213e-06,4.320757565677509e-06
1.9610595703125e-09,4386.026823023064,-36371.337470269245,36634.838892350665,-2.4423923588287133e-07,8.745090789475876e-07,9.07975183309768e-07
2.054443359375e-09,29321.840179753992,-9278.961066202044,30754.99032669542,2.4939453023876126e-06,8.004536022225832e-09,2.4939581479844785e-06
2.1478271484375e-09,16805.997988483545,18738.45410691275,25170.840881976677,4.06335307352896e-06,1.7578723816995031e-06,4.427296410959981e-06
2.2412109375e-09,-7768.921795681119,17974.704083841454,19581.780633258964,3.337861719318015e-06,3.4364183563258107e-06,4.790646300550856e-06
2.3345947265625e-09,-14254.392829288281,526.9585737222158,14264.129846229125,2.006732506133746e-06,3.485627744618962e-06,4.022011452647953e-06
2.427978515625e-09,-4585.198149525961,-8552.595713616001,9704.17103677481,1.5785493293286483e-06,2.686953950561804e-06,3.1163343077345874e-06
2.5213623046874997e-09,3577.2393329267347,-4941.96250408366,6100.789673215014,1.9126054926207567e-06,2.225454766525671e-06,2.934400907894986e-06
2.6147460937499998e-09,3185.056384695399,599.1715041690719,3240.924353498112,2.2100381262013207e-06,2.2814076718832566e-06,3.176332709996109e-06
2.7081298828125e-09,263.4079058311569,734.2178180316521,780.0381587906554,2.2346361545168525e-06,2.3499717137282532e-06,3.2428329895936314e-06
2.801513671875e-09,1318.623075547596,-685.5226937829888,1486.172324819059,2.357774173656734e-06,2.2859550070944655e-06,3.2840050774051726e-06
2.8948974609375e-09,2758.5507182254396,2011.3651338832628,3413.9700887417457,2.6153780920457065e-06,2.4737839044846875e-06,3.5999735235748813e-06
2.98828125e-09,-890.9792063473465,4754.888393623006,4837.644838343769,2.532175077781092e-06,2.9178133992505077e-06,3.86335937460929e-06
3.0816650390625e-09,-5498.291086581266,1533.6084745283868,5708.166065026866,2.0187238227475634e-06,3.0610275695403286e-06,3.6667609213056834e-06
3.175048828125e-09,-4128.737670248682,-4583.852727587561,6169.1312660651365,1.6331666550546628e-06,2.632970033333727e-06,3.0983486762493085e-06
3.2684326171875e-09,2420.8903932566723,-5932.224271633915,6407.183086593123,1.8592385728819765e-06,2.0789964532800224e-06,2.7890848541489592e-06
3.36181640625e-09,6501.861715413065,-298.37068826940106,6508.704236172702,2.4664070558276546e-06,2.0511334678642397e-06,3.207851659293057e-06
3.4552001953125e-09,2928.6151283640197,5751.048864837121,6453.785680964851,2.7398922332200468e-06,2.588188201946319e-06,3.7690486357108285e-06
3.5485839843749997e-09,-3853.4835211437253,4863.107244594396,6204.768111714791,2.3800393409257414e-06,3.042323583063838e-06,3.8626830116410834e-06
3.6419677734374998e-09,-5631.16048950667,-1324.5666085865487,5784.846165557341,1.8541802375965665e-06,2.918630534288361e-06,3.4578011147511105e-06
3.7353515625e-09,-1104.4021222163813,-5155.935513389367,5272.890579728136,1.7510469827753344e-06,2.4371497398861557e-06,3.000977239252867e-06
3.8287353515625e-09,3784.420883661731,-2848.8733922733763,4736.868272381896,2.104450544298921e-06,2.1711111479563296e-06,3.0236460953921637e-06
3.922119140625e-09,3672.950931870433,2018.4706354177943,4191.0371334517895,2.4474446193576226e-06,2.3596035840030355e-06,3.399663841979461e-06
4.0155029296874995e-09,-297.6609031221089,3599.5293174479216,3611.8157927024145,2.4196479163683143e-06,2.6957412705078766e-06,3.62239106623028e-06
4.10888671875e-09,-2803.8661602768752,1015.2167722364702,2982.001096474651,2.157812270297537e-06,2.7905460594191192e-06,3.527506357696069e-06
4.2022705078124996e-09,-1657.4979950089078,-1623.5376244776353,2320.1668089930586,2.0030288271601085e-06,2.6389339643598677e-06,3.3130193103401145e-06
4.295654296875e-09,502.4151841185458,-1593.8063724380027,1671.1193165231673,2.0499462607356318e-06,2.4900982862696487e-06,3.2253479110302256e-06
4.3890380859375e-09,1055.1405517208977,-208.9721473805786,1075.6351343586407,2.148479283448826e-06,2.470583675338723e-06,3.2741024614784085e-06
